Gene Probeset Intensity
54161 1415670_at 454.6
11972 1415671_at 1388.5
57437 1415672_at 1769.5
100678 1415673_at 131.9
60409 1415674_a_at 394.2
13481 1415675_at 362.9
19173 1415676_a_at 1076.8
52585 1415677_at 215.9
19042 1415678_at 979.2
66340 1415679_at 1181.6
17222 1415680_at 163.8
94067 1415681_at 313.3
65246 1415682_at 347.8
18107 1415683_at 596.7
11793 1415684_at 155.9
76784 1415685_at 257.8
68365 1415686_at 755
19156 1415687_a_at 3141
67128 1415688_at 808.6
72739 1415689_s_at 280.2
94064 1415690_at 701.3
13383 1415691_at 770
12330 1415692_s_at 1699.3
67819 1415693_at 287.1
22375 1415694_at 338.9
26440 1415695_at 737
20224 1415696_at 971.3
23881 1415697_at 513.4
105348 1415698_at 99.8
209318 1415699_a_at 1100.7
67437 1415700_a_at 1451
65019 1415701_x_at 3735.6
13016 1415702_a_at 1991.3
59026 1415703_at 447.1
321022 1415704_a_at 484.6
66818 1415705_at 230.9
12847 1415706_at 1387.6
99152 1415707_at 423.1
544752 1415708_at 804.4
107338 1415709_s_at 293
231430 1415710_at 227.7
211673 1415711_at 672.6
NA 1415712_at 240
27225 1415713_a_at 601.5
66618 1415714_a_at 977.2
68366 1415715_at 180.1
57294 1415716_a_at 3583.1
66743 1415717_at 556.6
50724 1415718_at 625.6
74252 1415719_s_at 976.2
66591 1415720_s_at 68.8
74763 1415721_a_at 362.1
66201 1415722_a_at 499.3
217869 1415723_at 1505.9
12540 1415724_a_at 618.6
106298 1415725_at 171
81702 1415726_at 1077.7
246703 1415727_at 752.7
54196 1415728_at 414.9
18607 1415729_at 941.7
269061 1415730_at 513.9
52477 1415731_at 237.5
193742 1415732_at 740.5
68512 1415733_a_at 744.5
19349 1415734_at 1840.3
13194 1415735_at 603
56612 1415736_at 877.4
54391 1415737_at 501.4
66073 1415738_at 289.1
68035 1415739_at 427.3
19184 1415740_at 924
21982 1415741_at 690.6
11993 1415742_at 147.4
15184 1415743_at 747
14976 1415744_at 578.4
13185 1415745_a_at 345
71722 1415746_at 870
66878 1415747_s_at 612.2
59288 1415748_a_at 361
54170 1415749_a_at 781.4
213773 1415750_at 41.6
15441 1415751_at 1150.4
407819 1415752_at 1270.9
216169 1415753_at 1273.6
69833 1415754_at 525.7
66589 1415755_a_at 897.9
20615 1415756_a_at 415.5
107338 1415757_at 369.9
72313 1415758_at 467
68576 1415759_a_at 513.9
11927 1415760_s_at 629.7
68836 1415761_at 224.2
68836 1415762_x_at 282.5
76799 1415763_a_at 610
70579 1415764_at 1184.8
68693 1415765_at 140
20333 1415766_at 254
228994 1415767_at 470.7
67615 1415768_a_at 465.5
16396 1415769_at 255.8
83669 1415770_at 1929.3
17975 1415771_at 844.4
17975 1415772_at 158.1
17975 1415773_at 178.3
58523 1415774_at 81.1
245688 1415775_at 982.6
11671 1415776_at 175.7
18946 1415777_at 13.9
56397 1415778_at 1847.5
11465 1415779_s_at 4249.4
67416 1415780_a_at 713.5
NA 1415781_a_at 3681.7
NA 1415782_at 1802
65114 1415783_at 1793.2
65114 1415784_at 71.6
12469 1415785_a_at 601.1
109820 1415786_at 10.5
14376 1415787_at 180.6
79560 1415788_at 527.5
NA 1415789_a_at 293.3
79560 1415790_at 155.1
80751 1415791_at 595.7
24105 1415792_at 396.1
103711 1415793_at 415.2
20729 1415794_a_at 854
20729 1415795_at 81.1
23994 1415796_at 811.6
12305 1415797_at 345.3
12305 1415798_at 167.7
60321 1415799_at 914.9
14609 1415800_at 1866.5
14609 1415801_at 271.8
20501 1415802_at 416
20312 1415803_at 1439.5
20312 1415804_at 338.3
109791 1415805_at 39.2
18791 1415806_at 278.8
20382 1415807_s_at 320
21984 1415808_at 2.4
21984 1415809_at 10.6
18140 1415810_at 12.8
18140 1415811_at 7.9
227753 1415812_at 476.8
11800 1415813_at 236.4
11966 1415814_at 2262.7
19720 1415815_at 7.8
12468 1415816_at 884
12468 1415817_s_at 345.2
11749 1415818_at 131.3
51792 1415819_a_at 1050.5
53610 1415820_x_at 804.1
20320 1415821_at 3165.2
20250 1415822_at 6203.2
20250 1415823_at 2916.6
20250 1415824_at 1398.1
104318 1415825_s_at 438.4
108664 1415826_at 750.5
28146 1415827_a_at 483
28146 1415828_a_at 168.2
98386 1415829_at 178.8
26429 1415830_at 154.4
21762 1415831_at 717
11609 1415832_at 10.7
NA 1415833_x_at 5263.6
67603 1415834_at 198.2
18776 1415835_at 20.1
56454 1415836_at 120
16612 1415837_at 14.2
56442 1415838_at 2445.9
18148 1415839_a_at 1726
68801 1415840_at 1025.9
13427 1415841_at 783
56716 1415842_at 229.8
56716 1415843_at 56.9
20983 1415844_at 573.8
20983 1415845_at 1353.8
16833 1415846_a_at 0.8
16833 1415847_at 2.5
18775 1415848_at 54.4
16765 1415849_s_at 4537.6
19414 1415850_at 282.7
23918 1415851_a_at 440.8
23918 1415852_at 278.7
23854 1415853_at 251.9
17311 1415854_at 45.3
17311 1415855_at 826.1
13723 1415856_at 333.5
13723 1415857_at 132.9
56347 1415858_at 954.4
56347 1415859_at 609.8
NA 1415860_at 291.3
22178 1415861_at 28.5
22178 1415862_at 46.2
13690 1415863_at 1260.2
12183 1415864_at 171
12183 1415865_s_at 380.1
101869 1415866_at 125.8
12464 1415867_at 1025.7
12464 1415868_at 9.1
21849 1415869_a_at 609.2
12321 1415870_at 328.5
21810 1415871_at 3.9
59013 1415872_at 1463.5
54130 1415873_a_at 802.5
24063 1415874_at 189.3
109163 1415875_at 28.7
27370 1415876_a_at 2085.3
22240 1415877_at 111.1
20133 1415878_at 84.5
67186 1415879_a_at 3316.6
16783 1415880_a_at 3149.3
66092 1415881_at 1960.8
66092 1415882_at 617.7
67868 1415883_a_at 1.6
67868 1415884_at 75.3
12653 1415885_at 1766.3
27387 1415886_at 134.9
21787 1415887_at 1263.2
15191 1415888_at 247.4
22027 1415889_a_at 1320.5
23971 1415890_at 688.8
56451 1415891_at 1246.5
20397 1415892_at 62.2
20397 1415893_at 24
18606 1415894_at 521.9
NA 1415895_at 3430.3
NA 1415896_x_at 3170.6
56615 1415897_a_at 495.2
56615 1415898_at 11.7
16477 1415899_at 77.2
16590 1415900_a_at 31.3
26433 1415901_at 341.6
110695 1415902_at 3.3
105727 1415903_at 1248.3
16956 1415904_at 135.4
19692 1415905_at 9.3
19241 1415906_at 4464.7
12445 1415907_at 191.9
22110 1415908_at 914.5
20867 1415909_at 304.5
109006 1415910_s_at 235.1
16210 1415911_at 2319.6
NA 1415912_a_at 872.7
NA 1415913_at 24.2
15384 1415914_at 908.1
104721 1415915_at 785.6
108156 1415916_a_at 301.5
108156 1415917_at 150.6
21991 1415918_a_at 1745
18146 1415919_at 1077.2
83410 1415920_at 948.1
29820 1415921_a_at 57
17357 1415922_s_at 965.4
17984 1415923_at 4668.1
21958 1415924_at 24.9
18226 1415925_a_at 171.1
18226 1415926_at 162
11464 1415927_at 23.5
67443 1415928_a_at 1833.3
67443 1415929_at 1327.8
67443 1415930_a_at 706.9
