Gene Probeset Intensity
54161 1415670_at 517.69
11972 1415671_at 1114.4
57437 1415672_at 942.77
100678 1415673_at 212.43
60409 1415674_a_at 208.6
13481 1415675_at 435.11
19173 1415676_a_at 1125.89
52585 1415677_at 452.03
19042 1415678_at 770.03
66340 1415679_at 2031.06
17222 1415680_at 309.91
94067 1415681_at 623.4
65246 1415682_at 163.34
18107 1415683_at 1437.57
11793 1415684_at 354.06
76784 1415685_at 278.94
68365 1415686_at 347.77
19156 1415687_a_at 2933.46
67128 1415688_at 1180.29
72739 1415689_s_at 202.51
94064 1415690_at 475.74
13383 1415691_at 629.86
12330 1415692_s_at 2225.29
67819 1415693_at 555.8
22375 1415694_at 258.71
26440 1415695_at 1054.51
20224 1415696_at 1246.63
23881 1415697_at 676.77
105348 1415698_at 462.86
209318 1415699_a_at 1178.14
67437 1415700_a_at 5729.43
65019 1415701_x_at 7666.83
13016 1415702_a_at 645.06
59026 1415703_at 674.86
321022 1415704_a_at 692.69
66818 1415705_at 701
12847 1415706_at 2250.29
99152 1415707_at 343.71
544752 1415708_at 582.77
107338 1415709_s_at 690.34
231430 1415710_at 312.09
211673 1415711_at 914.51
NA 1415712_at 129.8
27225 1415713_a_at 542.71
66618 1415714_a_at 868.83
68366 1415715_at 256.63
57294 1415716_a_at 4371.43
66743 1415717_at 401.77
50724 1415718_at 401.77
74252 1415719_s_at 443.6
66591 1415720_s_at 176.74
74763 1415721_a_at 238.57
66201 1415722_a_at 477.63
217869 1415723_at 2042.74
12540 1415724_a_at 1165.43
106298 1415725_at 192.6
81702 1415726_at 462.86
246703 1415727_at 672.71
54196 1415728_at 333.06
18607 1415729_at 449.8
269061 1415730_at 276.91
52477 1415731_at 240.6
193742 1415732_at 557.86
68512 1415733_a_at 1276.97
19349 1415734_at 1788.74
13194 1415735_at 649.37
56612 1415736_at 1472.6
54391 1415737_at 725.2
66073 1415738_at 464.97
68035 1415739_at 418.17
19184 1415740_at 763.83
21982 1415741_at 1598
11993 1415742_at 576.46
15184 1415743_at 167.17
14976 1415744_at 412.06
13185 1415745_a_at 276.91
71722 1415746_at 524.09
66878 1415747_s_at 1404.23
59288 1415748_a_at 383.17
54170 1415749_a_at 526.09
213773 1415750_at 194.63
15441 1415751_at 597.49
407819 1415752_at 1510.11
216169 1415753_at 536.2
69833 1415754_at 709.54
66589 1415755_a_at 511.43
20615 1415756_a_at 307.86
107338 1415757_at 616.8
72313 1415758_at 260.89
68576 1415759_a_at 567.94
11927 1415760_s_at 621.26
68836 1415761_at 356.09
68836 1415762_x_at 345.66
76799 1415763_a_at 1545.6
70579 1415764_at 1250.4
68693 1415765_at 230.57
20333 1415766_at 713.86
228994 1415767_at 471.37
67615 1415768_a_at 339.54
16396 1415769_at 331
83669 1415770_at 170.97
17975 1415771_at 538.46
17975 1415772_at 154.03
17975 1415773_at 458.6
58523 1415774_at 180.69
245688 1415775_at 2614.69
11671 1415776_at 1463.77
18946 1415777_at 119.09
56397 1415778_at 2222.66
11465 1415779_s_at 6944.29
67416 1415780_a_at 137.31
NA 1415781_a_at 6571.57
NA 1415782_at 2287.69
65114 1415783_at 1422.69
65114 1415784_at 331
12469 1415785_a_at 599.77
109820 1415786_at 174.8
14376 1415787_at 408.06
79560 1415788_at 456.37
NA 1415789_a_at 182.66
79560 1415790_at 137.31
80751 1415791_at 441.46
24105 1415792_at 206.54
103711 1415793_at 475.74
20729 1415794_a_at 496.34
20729 1415795_at 206.54
23994 1415796_at 1479.77
12305 1415797_at 368.71
12305 1415798_at 202.51
60321 1415799_at 289.14
14609 1415800_at 180.69
14609 1415801_at 137.31
20501 1415802_at 220.46
20312 1415803_at 184.63
20312 1415804_at 194.63
109791 1415805_at 126.26
18791 1415806_at 172.8
20382 1415807_s_at 509.17
21984 1415808_at 74.23
21984 1415809_at 89.49
18140 1415810_at 170.97
18140 1415811_at 124.46
227753 1415812_at 4252.69
11800 1415813_at 540.57
11966 1415814_at 435.11
19720 1415815_at 115.57
12468 1415816_at 1373.8
12468 1415817_s_at 194.63
11749 1415818_at 475.74
51792 1415819_a_at 816
53610 1415820_x_at 447.69
20320 1415821_at 778.71
20250 1415822_at 3564.03
20250 1415823_at 1502.4
20250 1415824_at 524.09
104318 1415825_s_at 264.86
108664 1415826_at 405.97
28146 1415827_a_at 8940.23
28146 1415828_a_at 9427.09
98386 1415829_at 287.03
26429 1415830_at 148.4
