Gene "ID_REF"	"GSM243346"	"GSM243347"	"GSM243348"	"GSM243349"	"GSM243350"	"GSM243351"
107338 "1415757_at"	412.9	234.5	219.6	172.5	206.7	169.6
72313 "1415758_at"	415.3	459	416.7	415.5	340.6	374.5
68576 "1415759_a_at"	824.9	991.1	890.4	908.3	881.8	966.2
11927 "1415760_s_at"	953.7	988.3	877.1	934.7	827.4	919.4
68836 "1415761_at"	674.5	683	651.5	648.3	588.2	654.8
68836 "1415762_x_at"	823.1	849.8	761	711.3	715.7	739.7
76799 "1415763_a_at"	678.4	542.1	493.8	597.2	569.7	587.4
70579 "1415764_at"	1604.4	1737.8	1918.5	2182	2091.6	1994.7
68693 "1415765_at"	288.1	243.1	301.7	320.6	303.6	239.2
20333 "1415766_at"	413.9	291.1	252.2	261.5	274.7	254.9
228994 "1415767_at"	988.8	955.9	908.7	909.1	820.4	968.4
67615 "1415768_a_at"	1129.7	759	862	841.5	888.4	800.4
16396 "1415769_at"	278.8	371.9	378.6	368.5	395.7	339.7
83669 "1415770_at"	2276.5	2313.8	1975	1905.8	2116.4	2175.4
17975 "1415771_at"	5084.8	5271.6	4937.3	5389.3	4944.7	5241.7
17975 "1415772_at"	467.5	562.2	601.9	514.3	505.2	498.4
17975 "1415773_at"	2481.8	2300.4	2788.2	2772.5	2430.4	2611
58523 "1415774_at"	264.6	196.6	134	256	264.4	265.4
245688 "1415775_at"	3711.7	4677.9	4385.6	4555	4344.9	4571.9
11671 "1415776_at"	84.6	90.5	103.6	86.7	93.4	82.9
18946 "1415777_at"	2.5	5.3	0.5	1.8	4.9	11.9
56397 "1415778_at"	3367.4	3753.3	3647.3	3770.3	3739.6	3617.4
11465 "1415779_s_at"	8841.4	9831.3	8425.1	9510.8	9329.8	9169.2
67416 "1415780_a_at"	1608.8	1329.7	1227.6	1166.6	1266	1261.8
NA "1415781_a_at"	7962.6	8563.3	7318.5	7957.9	7395.4	7755.9
NA "1415782_at"	5215.8	5958.3	5139.8	5474.5	5117.8	5726.3
