Gene Probeset Intensity
54161 1415670_at 535.71
11972 1415671_at 1021.97
57437 1415672_at 1065.69
100678 1415673_at 203.46
60409 1415674_a_at 284.14
13481 1415675_at 256.03
19173 1415676_a_at 1344.91
52585 1415677_at 665.49
19042 1415678_at 912.91
66340 1415679_at 1175.6
17222 1415680_at 346.31
94067 1415681_at 567.54
65246 1415682_at 286.29
18107 1415683_at 1067.49
11793 1415684_at 594.6
76784 1415685_at 569.54
68365 1415686_at 444.29
19156 1415687_a_at 1363.09
67128 1415688_at 952.63
72739 1415689_s_at 218.74
94064 1415690_at 1163.46
13383 1415691_at 373.91
12330 1415692_s_at 2110.09
67819 1415693_at 458.06
22375 1415694_at 144.69
26440 1415695_at 1202.8
20224 1415696_at 695.37
23881 1415697_at 464.4
105348 1415698_at 118.86
209318 1415699_a_at 704.74
67437 1415700_a_at 1654.83
65019 1415701_x_at 4700.66
13016 1415702_a_at 429.94
59026 1415703_at 577.17
321022 1415704_a_at 920.17
66818 1415705_at 221
12847 1415706_at 1196
99152 1415707_at 377.94
544752 1415708_at 275.46
107338 1415709_s_at 279.86
231430 1415710_at 282
211673 1415711_at 492.97
NA 1415712_at 356.89
27225 1415713_a_at 429.94
66618 1415714_a_at 448.2
68366 1415715_at 238.46
57294 1415716_a_at 2586.2
66743 1415717_at 207.74
50724 1415718_at 409.03
74252 1415719_s_at 513.09
66591 1415720_s_at 199.03
74763 1415721_a_at 442.06
66201 1415722_a_at 433.86
217869 1415723_at 1579.06
12540 1415724_a_at 780.37
106298 1415725_at 218.74
81702 1415726_at 571.49
246703 1415727_at 706.66
54196 1415728_at 271
18607 1415729_at 429.94
269061 1415730_at 377.94
52477 1415731_at 225.4
193742 1415732_at 394.26
68512 1415733_a_at 478.8
19349 1415734_at 1137.11
13194 1415735_at 565.4
56612 1415736_at 674.83
54391 1415737_at 609.91
66073 1415738_at 390.4
68035 1415739_at 371.97
19184 1415740_at 954.63
21982 1415741_at 373.91
11993 1415742_at 537.83
15184 1415743_at 264.51
14976 1415744_at 723.2
13185 1415745_a_at 225.4
71722 1415746_at 292.71
66878 1415747_s_at 1054.63
59288 1415748_a_at 363.57
54170 1415749_a_at 545.66
213773 1415750_at 129.63
15441 1415751_at 605.94
407819 1415752_at 909.29
216169 1415753_at 464.4
69833 1415754_at 586.74
66589 1415755_a_at 380.09
20615 1415756_a_at 229.8
107338 1415757_at 361.31
72313 1415758_at 247.06
68576 1415759_a_at 498.91
11927 1415760_s_at 1761.6
68836 1415761_at 719.4
68836 1415762_x_at 638.89
76799 1415763_a_at 650.49
70579 1415764_at 1456.8
68693 1415765_at 185.94
20333 1415766_at 356.89
228994 1415767_at 498.91
67615 1415768_a_at 726.94
16396 1415769_at 623.51
83669 1415770_at 177.43
17975 1415771_at 608
17975 1415772_at 123.11
17975 1415773_at 348.43
58523 1415774_at 212.11
245688 1415775_at 948.89
11671 1415776_at 847.14
18946 1415777_at 92.69
56397 1415778_at 1420.97
11465 1415779_s_at 1290.91
67416 1415780_a_at 88.4
NA 1415781_a_at 2871.23
NA 1415782_at 1097.6
65114 1415783_at 931.51
65114 1415784_at 170.77
12469 1415785_a_at 907.54
109820 1415786_at 94.86
14376 1415787_at 621.71
79560 1415788_at 590.69
NA 1415789_a_at 301.34
79560 1415790_at 209.94
80751 1415791_at 218.74
24105 1415792_at 305.71
103711 1415793_at 1378.29
20729 1415794_a_at 625.34
20729 1415795_at 177.43
23994 1415796_at 1007.69
12305 1415797_at 138.2
12305 1415798_at 88.4
60321 1415799_at 316.54
14609 1415800_at 90.46
14609 1415801_at 86.2
20501 1415802_at 804.06
20312 1415803_at 105.66
20312 1415804_at 135.94
109791 1415805_at 97
18791 1415806_at 75.6
20382 1415807_s_at 307.89
21984 1415808_at 66.91
21984 1415809_at 84.09
18140 1415810_at 88.4
18140 1415811_at 75.6
227753 1415812_at 223.17
11800 1415813_at 525.06
11966 1415814_at 346.31
19720 1415815_at 94.86
12468 1415816_at 723.2
12468 1415817_s_at 640.71
11749 1415818_at 421.51
51792 1415819_a_at 442.06
53610 1415820_x_at 433.86
20320 1415821_at 567.54
20250 1415822_at 97
20250 1415823_at 99.31
20250 1415824_at 69.11
104318 1415825_s_at 305.71
108664 1415826_at 625.34
28146 1415827_a_at 3308
28146 1415828_a_at 1379.97
98386 1415829_at 234.17
26429 1415830_at 251.66
21762 1415831_at 1081.89
11609 1415832_at 62.94
NA 1415833_x_at 4297.74
67603 1415834_at 896.06
18776 1415835_at 105.66
56454 1415836_at 97
16612 1415837_at 79.86
56442 1415838_at 1243.29
18148 1415839_a_at 920.17
68801 1415840_at 3339.77
13427 1415841_at 515.06
56716 1415842_at 162.06
56716 1415843_at 103.54
20983 1415844_at 54.69
20983 1415845_at 86.2
16833 1415846_a_at 64.89
16833 1415847_at 99.31
18775 1415848_at 203.46
16765 1415849_s_at 314.4
19414 1415850_at 157.77
23918 1415851_a_at 654.23
23918 1415852_at 448.2
23854 1415853_at 282
