Gene Probeset Intensity
54161 1415670_at 1379.31
11972 1415671_at 1699.26
57437 1415672_at 1076.37
100678 1415673_at 191.57
60409 1415674_a_at 500.26
13481 1415675_at 305.2
19173 1415676_a_at 942.51
52585 1415677_at 392.8
19042 1415678_at 724.6
66340 1415679_at 1619.37
17222 1415680_at 360.66
94067 1415681_at 433
65246 1415682_at 202.09
18107 1415683_at 811.23
11793 1415684_at 266.94
76784 1415685_at 348.43
68365 1415686_at 380.69
19156 1415687_a_at 2867.4
67128 1415688_at 764.2
72739 1415689_s_at 264.91
94064 1415690_at 996.43
13383 1415691_at 561.57
12330 1415692_s_at 2761.06
67819 1415693_at 376.69
22375 1415694_at 205.71
26440 1415695_at 993.97
20224 1415696_at 1946.26
23881 1415697_at 695.71
105348 1415698_at 223.86
209318 1415699_a_at 823
67437 1415700_a_at 1910.54
65019 1415701_x_at 7129.06
13016 1415702_a_at 1346.57
59026 1415703_at 517.2
321022 1415704_a_at 570.06
66818 1415705_at 437.09
12847 1415706_at 3586.4
99152 1415707_at 735.37
544752 1415708_at 944.51
107338 1415709_s_at 290
231430 1415710_at 261.17
211673 1415711_at 762
NA 1415712_at 222.09
27225 1415713_a_at 364.6
66618 1415714_a_at 429.26
68366 1415715_at 250.06
57294 1415716_a_at 6242.97
66743 1415717_at 261.17
50724 1415718_at 270.89
74252 1415719_s_at 332.43
66591 1415720_s_at 222.09
74763 1415721_a_at 284.23
66201 1415722_a_at 596.71
217869 1415723_at 1259.6
12540 1415724_a_at 1275.83
106298 1415725_at 250.06
81702 1415726_at 660.89
246703 1415727_at 870.89
54196 1415728_at 212.97
18607 1415729_at 623.54
269061 1415730_at 563.69
52477 1415731_at 316.6
193742 1415732_at 706.29
68512 1415733_a_at 623.54
19349 1415734_at 1616.6
13194 1415735_at 656.54
56612 1415736_at 1405.86
54391 1415737_at 743.83
66073 1415738_at 660.89
68035 1415739_at 398.89
19184 1415740_at 827.91
21982 1415741_at 1177.49
11993 1415742_at 214.83
15184 1415743_at 268.83
14976 1415744_at 550.94
13185 1415745_a_at 392.8
71722 1415746_at 326.17
66878 1415747_s_at 800.03
59288 1415748_a_at 726.69
54170 1415749_a_at 993.97
213773 1415750_at 159.91
15441 1415751_at 1222.57
407819 1415752_at 1350.63
216169 1415753_at 559.37
69833 1415754_at 487.86
66589 1415755_a_at 786.34
20615 1415756_a_at 419.14
107338 1415757_at 334.34
72313 1415758_at 477.17
68576 1415759_a_at 686.4
11927 1415760_s_at 346.51
68836 1415761_at 515.11
68836 1415762_x_at 542.14
76799 1415763_a_at 477.17
70579 1415764_at 2350.8
68693 1415765_at 212.97
20333 1415766_at 715.23
228994 1415767_at 460.17
67615 1415768_a_at 542.14
16396 1415769_at 318.57
83669 1415770_at 2015.34
17975 1415771_at 1322.57
17975 1415772_at 203.89
17975 1415773_at 638.71
58523 1415774_at 348.43
245688 1415775_at 2682.26
11671 1415776_at 225.66
18946 1415777_at 90.74
56397 1415778_at 4031.66
11465 1415779_s_at 5862.8
67416 1415780_a_at 1014.43
NA 1415781_a_at 5479.51
NA 1415782_at 3406.11
65114 1415783_at 1415.71
65114 1415784_at 301.43
12469 1415785_a_at 660.89
109820 1415786_at 119.49
14376 1415787_at 439.17
79560 1415788_at 513.06
NA 1415789_a_at 234.91
79560 1415790_at 165.09
80751 1415791_at 388.77
24105 1415792_at 378.6
103711 1415793_at 297.46
20729 1415794_a_at 809.14
20729 1415795_at 225.66
23994 1415796_at 1367
12305 1415797_at 305.2
12305 1415798_at 200.26
60321 1415799_at 515.11
14609 1415800_at 410.97
14609 1415801_at 193.29
20501 1415802_at 263.03
20312 1415803_at 544.37
20312 1415804_at 404.97
109791 1415805_at 92.29
18791 1415806_at 525.23
20382 1415807_s_at 334.34
21984 1415808_at 61.26
21984 1415809_at 79.54
18140 1415810_at 82.77
18140 1415811_at 81.09
227753 1415812_at 640.97
11800 1415813_at 608.03
11966 1415814_at 1581.06
19720 1415815_at 89.09
12468 1415816_at 1215.2
12468 1415817_s_at 762
11749 1415818_at 489.91
51792 1415819_a_at 1499.54
53610 1415820_x_at 1115.69
20320 1415821_at 1134.86
20250 1415822_at 2070.4
20250 1415823_at 1074.03
20250 1415824_at 527.54
104318 1415825_s_at 451.66
108664 1415826_at 675.69
28146 1415827_a_at 1566.09
28146 1415828_a_at 1824.86
98386 1415829_at 346.51
26429 1415830_at 340.37
21762 1415831_at 1120.8
11609 1415832_at 66.34
NA 1415833_x_at 9618.51
67603 1415834_at 202.09
18776 1415835_at 79.54
56454 1415836_at 435.09
16612 1415837_at 151.29
56442 1415838_at 2870.74
18148 1415839_a_at 2521.91
68801 1415840_at 1247.03
13427 1415841_at 998.54
56716 1415842_at 175.63
56716 1415843_at 132.69
20983 1415844_at 1309.2
20983 1415845_at 991.37
16833 1415846_a_at 61.26
16833 1415847_at 77.89
18775 1415848_at 101.77
16765 1415849_s_at 3660.63
19414 1415850_at 158.14
23918 1415851_a_at 585.71
23918 1415852_at 423.43
23854 1415853_at 207.54
17311 1415854_at 73.06
17311 1415855_at 211.11
13723 1415856_at 1242.4
13723 1415857_at 1544.23
56347 1415858_at 946.89
56347 1415859_at 649.89
NA 1415860_at 417.03
22178 1415861_at 76.14
22178 1415862_at 69.66
13690 1415863_at 1713.86
12183 1415864_at 470.91
12183 1415865_s_at 435.09
101869 1415866_at 326.17
12464 1415867_at 1081.54
12464 1415868_at 105.11
21849 1415869_a_at 953.89
12321 1415870_at 460.17
21810 1415871_at 159.91
59013 1415872_at 2931
54130 1415873_a_at 481.43
24063 1415874_at 340.37
109163 1415875_at 74.71
27370 1415876_a_at 5147.03
22240 1415877_at 92.29
20133 1415878_at 195.11
67186 1415879_a_at 6511.46
16783 1415880_a_at 2007.66
66092 1415881_at 710.69
66092 1415882_at 991.37
67868 1415883_a_at 106.6
67868 1415884_at 159.91
12653 1415885_at 10554.77
27387 1415886_at 161.66
21787 1415887_at 1548.46
15191 1415888_at 350.54
22027 1415889_a_at 3378.49
23971 1415890_at 1232.63
56451 1415891_at 750.94
20397 1415892_at 134.37
20397 1415893_at 127.74
18606 1415894_at 229.43
NA 1415895_at 1544.23
NA 1415896_x_at 1773.11
56615 1415897_a_at 603.46
56615 1415898_at 61.26
16477 1415899_at 297.46
16590 1415900_a_at 118
26433 1415901_at 384.83
110695 1415902_at 68.06
105727 1415903_at 423.43
16956 1415904_at 537.8
19692 1415905_at 82.77
19241 1415906_at 3317.71
12445 1415907_at 1003.29
22110 1415908_at 1005.23
20867 1415909_at 338.37
109006 1415910_s_at 435.09
16210 1415911_at 986.29
NA 1415912_a_at 3800.66
NA 1415913_at 100.29
15384 1415914_at 1686.43
104721 1415915_at 868.49
108156 1415916_a_at 326.17
108156 1415917_at 172.06
21991 1415918_a_at 1282.71
18146 1415919_at 1627.09
83410 1415920_at 960.57
29820 1415921_a_at 101.77
17357 1415922_s_at 309.03
17984 1415923_at 1849.91
21958 1415924_at 77.89
18226 1415925_a_at 332.43
18226 1415926_at 360.66
11464 1415927_at 90.74
67443 1415928_a_at 1054.46
67443 1415929_at 1175.34
67443 1415930_a_at 1019.26
16002 1415931_at 89.09
11981 1415932_x_at 390.74
12858 1415933_a_at 1343.91
108679 1415934_at 449.57
64074 1415935_at 103.49
29815 1415936_at 198.54
18571 1415937_s_at 236.83
20730 1415938_at 71.37
14264 1415939_at 108.17
100494 1415940_at 295.66
100494 1415941_s_at 186.17
110954 1415942_at 8801.6
20969 1415943_at 173.74
20969 1415944_at 111.49
17218 1415945_at 119.49
14755 1415946_at 427.23
NA 1415947_at 392.8
433375 1415948_at 403
12876 1415949_at 6847.2
23980 1415950_a_at 2454.69
14230 1415951_at 158.14
13728 1415952_at 336.37
13728 1415953_s_at 163.34
NA 1415954_at 68.06
19118 1415955_x_at 166.94
18555 1415956_a_at 466.57
18114 1415957_a_at 579.03
20528 1415958_at 149.74
20528 1415959_at 105.11
17523 1415960_at 85.97
64294 1415961_at 3826.2
68135 1415962_at 1613.74
56258 1415963_at 610.14
20249 1415964_at 330.43
20249 1415965_at 111.49
17995 1415966_a_at 813.76
17995 1415967_at 743.83
16483 1415968_a_at 137.71
16483 1415969_s_at 64.66
12864 1415970_at 3093.37
17118 1415971_at 882.29
17118 1415972_at 394.66
17118 1415973_at 466.57
26396 1415974_at 429.26
52502 1415975_at 146.23
52502 1415976_a_at 144.46
71780 1415977_at 326.17
22152 1415978_at 141.14
19989 1415979_x_at 5287.54
67942 1415980_at 1861.89
80517 1415981_at 326.17
80517 1415982_at 244.43
18826 1415983_at 109.86
11364 1415984_at 542.14
101943 1415985_at 608.03
12727 1415986_at 278.49
110611 1415987_at 1031.97
110611 1415988_at 445.46
22329 1415989_at 116.37
22334 1415990_at 1591.89
71765 1415991_a_at 1408.17
56703 1415992_at 196.86
20775 1415993_at 332.43
13106 1415994_at 81.09
12368 1415995_at 242.6
56338 1415996_at 1910.54
56338 1415997_at 1465.51
22333 1415998_at 733.2
15213 1415999_at 240.57
18477 1416000_a_at 2927.89
72042 1416001_a_at 301.43
72042 1416002_x_at 149.74
18417 1416003_at 114.74
22629 1416004_at 960.57
19179 1416005_at 481.43
17242 1416006_at 282.26
20230 1416007_at 386.77
20230 1416008_at 394.66
56434 1416009_at 2350.8
13660 1416010_a_at 168.66
13660 1416011_x_at 205.71
13660 1416012_at 129.46
18807 1416013_at 3489.97
24015 1416014_at 293.91
24015 1416015_s_at 330.43
21354 1416016_at 134.37
54161 1416017_at 739.69
13486 1416018_at 250.06
13486 1416019_at 196.86
11951 1416020_a_at 1583.8
16592 1416021_a_at 473.03
16592 1416022_at 364.6
14077 1416023_at 127.74
12462 1416024_x_at 1924.2
99571 1416025_at 71.37
269261 1416026_a_at 4815.51
18570 1416027_at 974.51
15374 1416028_a_at 229.43
21847 1416029_at 251.94
17220 1416030_a_at 263.03
17220 1416031_s_at 272.8
68539 1416032_at 216.63
68539 1416033_at 118
12484 1416034_at 1177.49
15251 1416035_at 272.8
14225 1416036_at 1237.66
