Gene Probeset Intensity
54161 1415670_at 452.9
11972 1415671_at 1815.9
57437 1415672_at 1430.5
100678 1415673_at 170
60409 1415674_a_at 336.1
13481 1415675_at 290.3
19173 1415676_a_at 1159.8
52585 1415677_at 203.3
19042 1415678_at 855.2
66340 1415679_at 976.2
17222 1415680_at 160.1
94067 1415681_at 287.5
65246 1415682_at 275.9
18107 1415683_at 563.4
11793 1415684_at 194.2
76784 1415685_at 232
68365 1415686_at 910.4
19156 1415687_a_at 2866.7
67128 1415688_at 843.8
72739 1415689_s_at 173.2
94064 1415690_at 369.5
13383 1415691_at 1333.4
12330 1415692_s_at 1444.5
67819 1415693_at 245.6
22375 1415694_at 394.9
26440 1415695_at 650.9
20224 1415696_at 1110.7
23881 1415697_at 765.7
105348 1415698_at 200.1
209318 1415699_a_at 1152.7
67437 1415700_a_at 848.3
65019 1415701_x_at 3129.7
13016 1415702_a_at 1983.5
59026 1415703_at 618.2
321022 1415704_a_at 412.5
66818 1415705_at 425.4
12847 1415706_at 1098.7
99152 1415707_at 394.3
544752 1415708_at 570.3
107338 1415709_s_at 227.5
231430 1415710_at 271
211673 1415711_at 725.7
NA 1415712_at 183.3
27225 1415713_a_at 430.3
66618 1415714_a_at 1201.7
68366 1415715_at 135.7
57294 1415716_a_at 2427.4
66743 1415717_at 576.6
50724 1415718_at 372.1
74252 1415719_s_at 900.5
66591 1415720_s_at 76
74763 1415721_a_at 456
66201 1415722_a_at 435.8
217869 1415723_at 1491.7
12540 1415724_a_at 829.9
106298 1415725_at 199.7
81702 1415726_at 906.8
246703 1415727_at 577.8
54196 1415728_at 483.9
18607 1415729_at 790.7
269061 1415730_at 418.3
52477 1415731_at 200.1
193742 1415732_at 796.9
68512 1415733_a_at 549
19349 1415734_at 1780.8
13194 1415735_at 486.4
56612 1415736_at 1225
54391 1415737_at 393.8
66073 1415738_at 223.8
68035 1415739_at 360
19184 1415740_at 1352.7
21982 1415741_at 431.7
11993 1415742_at 205.7
15184 1415743_at 580.1
14976 1415744_at 624.2
13185 1415745_a_at 239.2
71722 1415746_at 970.7
66878 1415747_s_at 758
59288 1415748_a_at 531.6
54170 1415749_a_at 634.3
213773 1415750_at 80.1
15441 1415751_at 1104.5
407819 1415752_at 1443.5
216169 1415753_at 976.6
69833 1415754_at 456.2
66589 1415755_a_at 1156.4
20615 1415756_a_at 358.7
107338 1415757_at 286.8
72313 1415758_at 293.3
68576 1415759_a_at 525.3
11927 1415760_s_at 484.4
68836 1415761_at 152.1
68836 1415762_x_at 243.4
76799 1415763_a_at 445.8
70579 1415764_at 1118.9
68693 1415765_at 201.4
20333 1415766_at 307.3
228994 1415767_at 620.3
67615 1415768_a_at 371.1
16396 1415769_at 256.1
83669 1415770_at 749.3
17975 1415771_at 1121.1
17975 1415772_at 80.3
17975 1415773_at 430.9
58523 1415774_at 78.3
245688 1415775_at 1280
11671 1415776_at 189.7
18946 1415777_at 2.1
56397 1415778_at 2235.9
11465 1415779_s_at 4450.2
67416 1415780_a_at 647.4
NA 1415781_a_at 3627.7
NA 1415782_at 1935.5
65114 1415783_at 1634.7
65114 1415784_at 242.3
12469 1415785_a_at 565.3
109820 1415786_at 33.2
14376 1415787_at 295.6
79560 1415788_at 460.6
NA 1415789_a_at 248.8
79560 1415790_at 152.2
80751 1415791_at 638.4
24105 1415792_at 288.2
103711 1415793_at 367.5
20729 1415794_a_at 892
20729 1415795_at 147.1
23994 1415796_at 779
12305 1415797_at 211.1
12305 1415798_at 96.6
60321 1415799_at 625.7
14609 1415800_at 1194.7
14609 1415801_at 287.1
20501 1415802_at 380.9
20312 1415803_at 2169.5
20312 1415804_at 930.8
109791 1415805_at 10.1
18791 1415806_at 207
20382 1415807_s_at 279.1
21984 1415808_at 5.1
21984 1415809_at 26.7
18140 1415810_at 6
18140 1415811_at 5.5
227753 1415812_at 470.9
11800 1415813_at 341.2
11966 1415814_at 2929.3
19720 1415815_at 8.1
12468 1415816_at 892.2
