Gene Probeset Intensity
54161 1415670_at 465.2
11972 1415671_at 1297.7
57437 1415672_at 1612.2
100678 1415673_at 116.1
60409 1415674_a_at 373.6
13481 1415675_at 284.6
19173 1415676_a_at 996.6
52585 1415677_at 226.4
19042 1415678_at 754.3
66340 1415679_at 790.2
17222 1415680_at 182.9
94067 1415681_at 341.5
65246 1415682_at 326.4
18107 1415683_at 366
11793 1415684_at 140.2
76784 1415685_at 279.5
68365 1415686_at 744.1
19156 1415687_a_at 3580.2
67128 1415688_at 605.2
72739 1415689_s_at 171.2
94064 1415690_at 537.3
13383 1415691_at 709
12330 1415692_s_at 1972.8
67819 1415693_at 327.6
22375 1415694_at 399.1
26440 1415695_at 498.2
20224 1415696_at 998.9
23881 1415697_at 653.3
105348 1415698_at 134.3
209318 1415699_a_at 960.4
67437 1415700_a_at 880.5
65019 1415701_x_at 2950.2
13016 1415702_a_at 1762.9
59026 1415703_at 687.4
321022 1415704_a_at 470.7
66818 1415705_at 281.7
12847 1415706_at 1341.9
99152 1415707_at 443.3
544752 1415708_at 582.8
107338 1415709_s_at 340.2
231430 1415710_at 282.1
211673 1415711_at 685.9
NA 1415712_at 196.5
27225 1415713_a_at 685.9
66618 1415714_a_at 591.3
68366 1415715_at 132.9
57294 1415716_a_at 1702.5
66743 1415717_at 667.4
50724 1415718_at 276
74252 1415719_s_at 633.4
66591 1415720_s_at 66.5
74763 1415721_a_at 389.2
66201 1415722_a_at 435.6
217869 1415723_at 1433.5
12540 1415724_a_at 910.5
106298 1415725_at 186.3
81702 1415726_at 851.2
246703 1415727_at 583
54196 1415728_at 519.2
18607 1415729_at 793
269061 1415730_at 538.5
52477 1415731_at 195.7
193742 1415732_at 753.7
68512 1415733_a_at 242.5
19349 1415734_at 1590.9
13194 1415735_at 641.9
56612 1415736_at 661.1
54391 1415737_at 515.3
66073 1415738_at 275
68035 1415739_at 299.7
19184 1415740_at 1309.5
21982 1415741_at 464.9
11993 1415742_at 198.4
15184 1415743_at 714.3
14976 1415744_at 556.3
13185 1415745_a_at 347.7
71722 1415746_at 782.2
66878 1415747_s_at 657.4
59288 1415748_a_at 421.3
54170 1415749_a_at 649.6
213773 1415750_at 116.1
15441 1415751_at 1203
407819 1415752_at 1116.4
216169 1415753_at 781.9
69833 1415754_at 342.2
66589 1415755_a_at 1007.9
20615 1415756_a_at 399.1
107338 1415757_at 410.7
72313 1415758_at 365
68576 1415759_a_at 368.5
11927 1415760_s_at 318.2
68836 1415761_at 142
68836 1415762_x_at 189.3
76799 1415763_a_at 380.2
70579 1415764_at 987.4
68693 1415765_at 173.3
20333 1415766_at 289.1
228994 1415767_at 426
67615 1415768_a_at 305.9
16396 1415769_at 272.1
83669 1415770_at 1746.4
17975 1415771_at 1399.9
17975 1415772_at 123.3
17975 1415773_at 613.1
58523 1415774_at 106.3
245688 1415775_at 951.7
11671 1415776_at 185.4
18946 1415777_at 5
56397 1415778_at 2167.3
11465 1415779_s_at 4476
67416 1415780_a_at 616.7
NA 1415781_a_at 3295.7
NA 1415782_at 1337.3
65114 1415783_at 1415.5
65114 1415784_at 233.5
12469 1415785_a_at 764.6
109820 1415786_at 15.4
14376 1415787_at 250.1
79560 1415788_at 463.8
NA 1415789_a_at 288.4
79560 1415790_at 181.2
80751 1415791_at 645.1
24105 1415792_at 224.6
103711 1415793_at 482.6
20729 1415794_a_at 989.4
20729 1415795_at 112.9
23994 1415796_at 769.8
12305 1415797_at 385.1
12305 1415798_at 217
60321 1415799_at 784.1
14609 1415800_at 1768.6
14609 1415801_at 408.5
20501 1415802_at 358.3
20312 1415803_at 1373.2
20312 1415804_at 629.5
109791 1415805_at 25.7
18791 1415806_at 324.4
20382 1415807_s_at 299.9
21984 1415808_at 6.7
21984 1415809_at 18.8
18140 1415810_at 8.1
18140 1415811_at 4.5
227753 1415812_at 575
11800 1415813_at 322.3
11966 1415814_at 2550
19720 1415815_at 4.1
12468 1415816_at 1012
12468 1415817_s_at 545
11749 1415818_at 242.4
51792 1415819_a_at 1702.8
53610 1415820_x_at 766.1
20320 1415821_at 3339.2
20250 1415822_at 6852.6
20250 1415823_at 3646
20250 1415824_at 1274.5
104318 1415825_s_at 516.6
108664 1415826_at 617.8
28146 1415827_a_at 471.7
28146 1415828_a_at 179.3
98386 1415829_at 210.4
26429 1415830_at 142
21762 1415831_at 960.2
11609 1415832_at 12
NA 1415833_x_at 3976
67603 1415834_at 213.9
18776 1415835_at 22.2
56454 1415836_at 121.5
16612 1415837_at 2.5
56442 1415838_at 2742.9
18148 1415839_a_at 1420.2
68801 1415840_at 856.5
13427 1415841_at 796.3
56716 1415842_at 224.7
56716 1415843_at 83.2
20983 1415844_at 717
20983 1415845_at 1122.1
16833 1415846_a_at 1.4
16833 1415847_at 6.6
18775 1415848_at 82.2
16765 1415849_s_at 3862.5
19414 1415850_at 349.3
23918 1415851_a_at 733.3
23918 1415852_at 358.4
23854 1415853_at 224.4
17311 1415854_at 44.3
17311 1415855_at 614.3
13723 1415856_at 363.9
13723 1415857_at 168.4
56347 1415858_at 921
56347 1415859_at 522.9
NA 1415860_at 258.8
22178 1415861_at 16.1
22178 1415862_at 35.1
13690 1415863_at 1234.3
12183 1415864_at 385.5
12183 1415865_s_at 460
101869 1415866_at 97
12464 1415867_at 783.9
12464 1415868_at 12.5
21849 1415869_a_at 655.4
12321 1415870_at 315.3
21810 1415871_at 31.4
59013 1415872_at 1297.7
