Gene Probeset Intensity
54161 1415670_at 297
11972 1415671_at 584
57437 1415672_at 2338
100678 1415673_at 142
60409 1415674_a_at 592
13481 1415675_at 311
19173 1415676_a_at 1209
52585 1415677_at 122
19042 1415678_at 564
66340 1415679_at 1159
17222 1415680_at 722
94067 1415681_at 472
65246 1415682_at 261
18107 1415683_at 1509
11793 1415684_at 214
76784 1415685_at 254
68365 1415686_at 556
19156 1415687_a_at 699
67128 1415688_at 2029
72739 1415689_s_at 361
94064 1415690_at 429
13383 1415691_at 464
12330 1415692_s_at 1554
67819 1415693_at 159
22375 1415694_at 243
26440 1415695_at 1429
20224 1415696_at 1428
23881 1415697_at 991
105348 1415698_at 682
209318 1415699_a_at 482
67437 1415700_a_at 1556
65019 1415701_x_at 7071
13016 1415702_a_at 2709
59026 1415703_at 622
321022 1415704_a_at 1085
66818 1415705_at 255
12847 1415706_at 1311
99152 1415707_at 580
544752 1415708_at 1429
107338 1415709_s_at 271
231430 1415710_at 360
211673 1415711_at 377
NA 1415712_at 150
27225 1415713_a_at 237
66618 1415714_a_at 953
68366 1415715_at 97
57294 1415716_a_at 6355
66743 1415717_at 330
50724 1415718_at 214
74252 1415719_s_at 528
66591 1415720_s_at 159
74763 1415721_a_at 117
66201 1415722_a_at 675
217869 1415723_at 1649
12540 1415724_a_at 554
106298 1415725_at 536
81702 1415726_at 742
246703 1415727_at 359
54196 1415728_at 638
18607 1415729_at 880
269061 1415730_at 684
52477 1415731_at 255
193742 1415732_at 163
68512 1415733_a_at 1097
19349 1415734_at 737
13194 1415735_at 1506
56612 1415736_at 1040
54391 1415737_at 477
66073 1415738_at 435
68035 1415739_at 562
19184 1415740_at 1004
21982 1415741_at 1981
11993 1415742_at 196
15184 1415743_at 199
14976 1415744_at 544
13185 1415745_a_at 325
71722 1415746_at 447
66878 1415747_s_at 845
59288 1415748_a_at 369
54170 1415749_a_at 301
213773 1415750_at 149
15441 1415751_at 1708
407819 1415752_at 1106
216169 1415753_at 635
69833 1415754_at 685
66589 1415755_a_at 1029
20615 1415756_a_at 169
107338 1415757_at 233
72313 1415758_at 376
68576 1415759_a_at 705
11927 1415760_s_at 421
68836 1415761_at 382
68836 1415762_x_at 232
76799 1415763_a_at 721
70579 1415764_at 1325
68693 1415765_at 192
