Gene Probeset Intensity
54161 1415670_at 395
11972 1415671_at 1365
57437 1415672_at 1679
100678 1415673_at 79
60409 1415674_a_at 758
13481 1415675_at 404
19173 1415676_a_at 1558
52585 1415677_at 175
19042 1415678_at 694
66340 1415679_at 1569
17222 1415680_at 237
94067 1415681_at 723
65246 1415682_at 187
18107 1415683_at 1005
11793 1415684_at 170
76784 1415685_at 294
68365 1415686_at 630
19156 1415687_a_at 1060
67128 1415688_at 1121
72739 1415689_s_at 513
94064 1415690_at 1411
13383 1415691_at 523
12330 1415692_s_at 1880
67819 1415693_at 150
22375 1415694_at 203
26440 1415695_at 1328
20224 1415696_at 1444
23881 1415697_at 598
105348 1415698_at 585
209318 1415699_a_at 1287
67437 1415700_a_at 1130
65019 1415701_x_at 9035
13016 1415702_a_at 2069
59026 1415703_at 596
321022 1415704_a_at 1492
66818 1415705_at 288
12847 1415706_at 1921
99152 1415707_at 682
544752 1415708_at 1099
107338 1415709_s_at 181
231430 1415710_at 337
211673 1415711_at 441
NA 1415712_at 318
27225 1415713_a_at 242
66618 1415714_a_at 1529
68366 1415715_at 79
57294 1415716_a_at 6565
66743 1415717_at 278
50724 1415718_at 402
74252 1415719_s_at 542
66591 1415720_s_at 155
74763 1415721_a_at 198
66201 1415722_a_at 889
217869 1415723_at 1842
12540 1415724_a_at 480
106298 1415725_at 359
81702 1415726_at 443
246703 1415727_at 1092
54196 1415728_at 1005
18607 1415729_at 621
269061 1415730_at 490
52477 1415731_at 251
193742 1415732_at 184
68512 1415733_a_at 1053
19349 1415734_at 867
13194 1415735_at 1247
56612 1415736_at 2011
54391 1415737_at 308
66073 1415738_at 454
68035 1415739_at 466
19184 1415740_at 1835
21982 1415741_at 1261
11993 1415742_at 156
15184 1415743_at 368
14976 1415744_at 1252
13185 1415745_a_at 209
71722 1415746_at 319
66878 1415747_s_at 857
59288 1415748_a_at 574
54170 1415749_a_at 441
213773 1415750_at 99
15441 1415751_at 1255
407819 1415752_at 1322
216169 1415753_at 463
69833 1415754_at 742
66589 1415755_a_at 1051
20615 1415756_a_at 299
107338 1415757_at 182
72313 1415758_at 497
68576 1415759_a_at 819
11927 1415760_s_at 803
68836 1415761_at 364
68836 1415762_x_at 691
76799 1415763_a_at 821
70579 1415764_at 3308
68693 1415765_at 277
20333 1415766_at 263
228994 1415767_at 689
67615 1415768_a_at 960
16396 1415769_at 248
83669 1415770_at 2045
17975 1415771_at 1944
17975 1415772_at 180
17975 1415773_at 394
58523 1415774_at 159
245688 1415775_at 3070
11671 1415776_at 47
18946 1415777_at 10
56397 1415778_at 3535
11465 1415779_s_at 10189
67416 1415780_a_at 1145
NA 1415781_a_at 6992
NA 1415782_at 4985
65114 1415783_at 1278
65114 1415784_at 27
12469 1415785_a_at 1199
109820 1415786_at 20
14376 1415787_at 243
79560 1415788_at 395
NA 1415789_a_at 72
79560 1415790_at 145
80751 1415791_at 369
24105 1415792_at 323
103711 1415793_at 185
20729 1415794_a_at 1276
20729 1415795_at 43
23994 1415796_at 716
12305 1415797_at 342
12305 1415798_at 100
60321 1415799_at 368
14609 1415800_at 837
14609 1415801_at 127
20501 1415802_at 232
20312 1415803_at 28
20312 1415804_at 38
109791 1415805_at 14
18791 1415806_at 138
20382 1415807_s_at 1307
21984 1415808_at 9
21984 1415809_at 8
18140 1415810_at 846
18140 1415811_at 142
227753 1415812_at 241
11800 1415813_at 551
11966 1415814_at 896
19720 1415815_at 13
12468 1415816_at 2772
12468 1415817_s_at 1390
11749 1415818_at 310
51792 1415819_a_at 830
53610 1415820_x_at 1208
20320 1415821_at 733
20250 1415822_at 3033
20250 1415823_at 647
20250 1415824_at 17
104318 1415825_s_at 420
108664 1415826_at 667
28146 1415827_a_at 1051
28146 1415828_a_at 571
98386 1415829_at 613
26429 1415830_at 169
21762 1415831_at 1411
11609 1415832_at 109
NA 1415833_x_at 13108
67603 1415834_at 411
18776 1415835_at 6
56454 1415836_at 109
16612 1415837_at 7
56442 1415838_at 1568
18148 1415839_a_at 4015
68801 1415840_at 896
13427 1415841_at 1119
56716 1415842_at 147
56716 1415843_at 22
20983 1415844_at 86
20983 1415845_at 324
16833 1415846_a_at 6
16833 1415847_at 11
18775 1415848_at 53
16765 1415849_s_at 13114
19414 1415850_at 117
23918 1415851_a_at 1776
23918 1415852_at 2731
23854 1415853_at 108
17311 1415854_at 8
17311 1415855_at 191
13723 1415856_at 134
13723 1415857_at 221
56347 1415858_at 2020
56347 1415859_at 1197
NA 1415860_at 1846
22178 1415861_at 10
22178 1415862_at 8
13690 1415863_at 3493
12183 1415864_at 230
12183 1415865_s_at 473
101869 1415866_at 74
12464 1415867_at 2789
12464 1415868_at 31
21849 1415869_a_at 2663
12321 1415870_at 1274
21810 1415871_at 284
59013 1415872_at 4605
54130 1415873_a_at 816
24063 1415874_at 254
109163 1415875_at 32
27370 1415876_a_at 9554
22240 1415877_at 2110
20133 1415878_at 743
67186 1415879_a_at 13210
16783 1415880_a_at 1599
66092 1415881_at 364
66092 1415882_at 638
67868 1415883_a_at 12
67868 1415884_at 58
12653 1415885_at 169
27387 1415886_at 102
21787 1415887_at 1206
15191 1415888_at 814
22027 1415889_a_at 939
23971 1415890_at 1080
56451 1415891_at 1198
20397 1415892_at 81
20397 1415893_at 12
18606 1415894_at 107
NA 1415895_at 2273
NA 1415896_x_at 1779
56615 1415897_a_at 463
56615 1415898_at 7
16477 1415899_at 10
16590 1415900_a_at 31
26433 1415901_at 321
110695 1415902_at 11
105727 1415903_at 268
16956 1415904_at 262
19692 1415905_at 16
19241 1415906_at 11293
12445 1415907_at 505
22110 1415908_at 397
20867 1415909_at 370
109006 1415910_s_at 435
16210 1415911_at 419
NA 1415912_a_at 4081
NA 1415913_at 91
15384 1415914_at 5405
104721 1415915_at 1033
108156 1415916_a_at 773
108156 1415917_at 154
21991 1415918_a_at 3266
18146 1415919_at 535
83410 1415920_at 660
29820 1415921_a_at 24
17357 1415922_s_at 3738
17984 1415923_at 2508
21958 1415924_at 6
18226 1415925_a_at 327
18226 1415926_at 328
11464 1415927_at 2593
67443 1415928_a_at 1229
67443 1415929_at 1495
67443 1415930_a_at 1030
16002 1415931_at 23
11981 1415932_x_at 483
12858 1415933_a_at 2686
108679 1415934_at 424
64074 1415935_at 173
29815 1415936_at 79
18571 1415937_s_at 41
20730 1415938_at 10
14264 1415939_at 26
100494 1415940_at 134
100494 1415941_s_at 57
110954 1415942_at 9869
20969 1415943_at 330
20969 1415944_at 161
17218 1415945_at 518
14755 1415946_at 228
NA 1415947_at 244
433375 1415948_at 53
12876 1415949_at 2157
23980 1415950_a_at 4361
14230 1415951_at 364
13728 1415952_at 173
13728 1415953_s_at 170
NA 1415954_at 7
19118 1415955_x_at 116
18555 1415956_a_at 258
18114 1415957_a_at 194
20528 1415958_at 49
20528 1415959_at 59
17523 1415960_at 13
64294 1415961_at 1301
68135 1415962_at 2877
56258 1415963_at 412
20249 1415964_at 114
20249 1415965_at 28
17995 1415966_a_at 910
17995 1415967_at 884
16483 1415968_a_at 80
16483 1415969_s_at 7
12864 1415970_at 3115
17118 1415971_at 3968
17118 1415972_at 1848
17118 1415973_at 2545
26396 1415974_at 806
52502 1415975_at 417
52502 1415976_a_at 214
71780 1415977_at 392
22152 1415978_at 1340
19989 1415979_x_at 6383
67942 1415980_at 2008
80517 1415981_at 227
80517 1415982_at 128
18826 1415983_at 59
11364 1415984_at 720
101943 1415985_at 891
12727 1415986_at 708
110611 1415987_at 615
110611 1415988_at 53
22329 1415989_at 159
22334 1415990_at 2342
71765 1415991_a_at 2576
56703 1415992_at 124
20775 1415993_at 820
13106 1415994_at 13
12368 1415995_at 273
56338 1415996_at 359
56338 1415997_at 106
22333 1415998_at 1596
15213 1415999_at 319
18477 1416000_a_at 2803
72042 1416001_a_at 804
72042 1416002_x_at 299
18417 1416003_at 29
22629 1416004_at 2406
19179 1416005_at 522
17242 1416006_at 3714
20230 1416007_at 271
20230 1416008_at 396
56434 1416009_at 1247
13660 1416010_a_at 274
13660 1416011_x_at 173
13660 1416012_at 57
18807 1416013_at 295
24015 1416014_at 355
24015 1416015_s_at 492
21354 1416016_at 27
54161 1416017_at 309
13486 1416018_at 81
13486 1416019_at 77
11951 1416020_a_at 1532
16592 1416021_a_at 3477
16592 1416022_at 1460
14077 1416023_at 212
12462 1416024_x_at 3043
99571 1416025_at 11
269261 1416026_a_at 6826
18570 1416027_at 1207
15374 1416028_a_at 2416
