Gene Probeset Intensity
54161 1415670_at 378
11972 1415671_at 1259
57437 1415672_at 1747
100678 1415673_at 96
60409 1415674_a_at 633
13481 1415675_at 318
19173 1415676_a_at 1524
52585 1415677_at 190
19042 1415678_at 627
66340 1415679_at 1377
17222 1415680_at 219
94067 1415681_at 611
65246 1415682_at 218
18107 1415683_at 977
11793 1415684_at 208
76784 1415685_at 334
68365 1415686_at 784
19156 1415687_a_at 1137
67128 1415688_at 1083
72739 1415689_s_at 587
94064 1415690_at 1116
13383 1415691_at 537
12330 1415692_s_at 1988
67819 1415693_at 144
22375 1415694_at 176
26440 1415695_at 1282
20224 1415696_at 1316
23881 1415697_at 583
105348 1415698_at 621
209318 1415699_a_at 1256
67437 1415700_a_at 1377
65019 1415701_x_at 8846
13016 1415702_a_at 2185
59026 1415703_at 666
321022 1415704_a_at 1765
66818 1415705_at 318
12847 1415706_at 2152
99152 1415707_at 651
544752 1415708_at 1407
107338 1415709_s_at 187
231430 1415710_at 302
211673 1415711_at 477
NA 1415712_at 302
27225 1415713_a_at 241
66618 1415714_a_at 1454
68366 1415715_at 77
57294 1415716_a_at 6301
66743 1415717_at 288
50724 1415718_at 359
74252 1415719_s_at 575
66591 1415720_s_at 150
74763 1415721_a_at 207
66201 1415722_a_at 830
217869 1415723_at 2157
12540 1415724_a_at 591
106298 1415725_at 397
81702 1415726_at 574
246703 1415727_at 974
54196 1415728_at 950
18607 1415729_at 633
269061 1415730_at 626
52477 1415731_at 286
193742 1415732_at 159
68512 1415733_a_at 808
19349 1415734_at 959
13194 1415735_at 1377
56612 1415736_at 1831
54391 1415737_at 306
66073 1415738_at 429
68035 1415739_at 485
19184 1415740_at 1788
21982 1415741_at 1194
11993 1415742_at 130
15184 1415743_at 360
14976 1415744_at 1118
13185 1415745_a_at 230
71722 1415746_at 350
66878 1415747_s_at 814
59288 1415748_a_at 573
54170 1415749_a_at 377
213773 1415750_at 86
15441 1415751_at 1352
407819 1415752_at 1185
216169 1415753_at 412
69833 1415754_at 578
66589 1415755_a_at 1158
20615 1415756_a_at 271
107338 1415757_at 233
72313 1415758_at 440
68576 1415759_a_at 811
11927 1415760_s_at 649
68836 1415761_at 310
68836 1415762_x_at 536
76799 1415763_a_at 665
70579 1415764_at 3402
68693 1415765_at 249
20333 1415766_at 298
228994 1415767_at 692
67615 1415768_a_at 1000
16396 1415769_at 253
83669 1415770_at 2105
17975 1415771_at 2202
17975 1415772_at 194
17975 1415773_at 479
58523 1415774_at 189
245688 1415775_at 3166
11671 1415776_at 41
18946 1415777_at 11
56397 1415778_at 3885
11465 1415779_s_at 10611
67416 1415780_a_at 1331
NA 1415781_a_at 7985
NA 1415782_at 5191
65114 1415783_at 1341
65114 1415784_at 43
12469 1415785_a_at 1259
109820 1415786_at 19
14376 1415787_at 245
79560 1415788_at 450
NA 1415789_a_at 90
79560 1415790_at 127
80751 1415791_at 378
24105 1415792_at 284
103711 1415793_at 203
20729 1415794_a_at 1465
20729 1415795_at 50
23994 1415796_at 788
12305 1415797_at 421
12305 1415798_at 100
60321 1415799_at 467
14609 1415800_at 869
14609 1415801_at 125
20501 1415802_at 261
20312 1415803_at 28
20312 1415804_at 35
