Gene Probeset Intensity
54161 1415670_at 703.91
11972 1415671_at 1204.11
57437 1415672_at 1168.8
100678 1415673_at 1172.29
60409 1415674_a_at 661.71
13481 1415675_at 411.34
19173 1415676_a_at 1515
52585 1415677_at 398.66
19042 1415678_at 645.6
66340 1415679_at 2126
17222 1415680_at 367.51
94067 1415681_at 1143.57
65246 1415682_at 194.03
18107 1415683_at 1341.86
11793 1415684_at 622.51
76784 1415685_at 369.4
68365 1415686_at 677.2
19156 1415687_a_at 1696.23
67128 1415688_at 1003.06
72739 1415689_s_at 231.29
94064 1415690_at 1030.63
13383 1415691_at 458.31
12330 1415692_s_at 3609.94
67819 1415693_at 633.63
22375 1415694_at 861.83
26440 1415695_at 1442.6
20224 1415696_at 1487.83
23881 1415697_at 949.8
105348 1415698_at 169.74
209318 1415699_a_at 1050.69
67437 1415700_a_at 3832.97
65019 1415701_x_at 8987.57
13016 1415702_a_at 916.91
59026 1415703_at 561.8
321022 1415704_a_at 1181.89
66818 1415705_at 685.74
12847 1415706_at 2818.91
99152 1415707_at 460.09
544752 1415708_at 827.4
107338 1415709_s_at 534.86
231430 1415710_at 393.34
211673 1415711_at 865.06
NA 1415712_at 136.34
27225 1415713_a_at 429.46
66618 1415714_a_at 461.86
68366 1415715_at 290.89
57294 1415716_a_at 5427.91
66743 1415717_at 309.29
50724 1415718_at 378.63
74252 1415719_s_at 200.91
66591 1415720_s_at 303.71
74763 1415721_a_at 418.6
66201 1415722_a_at 615.26
217869 1415723_at 1595.69
12540 1415724_a_at 2121.14
106298 1415725_at 314.86
81702 1415726_at 536.63
246703 1415727_at 976.91
54196 1415728_at 249.4
18607 1415729_at 755.43
269061 1415730_at 376.86
52477 1415731_at 307.37
193742 1415732_at 404.03
68512 1415733_a_at 891.63
19349 1415734_at 1585.4
13194 1415735_at 809.94
56612 1415736_at 2497.63
54391 1415737_at 549.11
66073 1415738_at 461.86
68035 1415739_at 429.46
19184 1415740_at 774.77
21982 1415741_at 1152.49
11993 1415742_at 736.23
15184 1415743_at 229.4
14976 1415744_at 1008.06
13185 1415745_a_at 260.26
71722 1415746_at 395.14
66878 1415747_s_at 1274.06
59288 1415748_a_at 618.74
54170 1415749_a_at 924.2
213773 1415750_at 199.17
15441 1415751_at 765.66
407819 1415752_at 1595.69
216169 1415753_at 402.17
69833 1415754_at 806.06
66589 1415755_a_at 1006.4
20615 1415756_a_at 398.66
107338 1415757_at 371.37
72313 1415758_at 269.11
68576 1415759_a_at 985.4
11927 1415760_s_at 1159.03
68836 1415761_at 861.83
68836 1415762_x_at 799.17
76799 1415763_a_at 1233.2
70579 1415764_at 958.8
68693 1415765_at 309.29
20333 1415766_at 483.23
228994 1415767_at 465.63
67615 1415768_a_at 570.6
16396 1415769_at 433.06
83669 1415770_at 445.69
17975 1415771_at 895.23
17975 1415772_at 178.14
17975 1415773_at 774.77
58523 1415774_at 307.37
245688 1415775_at 3965.26
11671 1415776_at 283.54
18946 1415777_at 103.91
56397 1415778_at 3619.97
11465 1415779_s_at 5974.49
67416 1415780_a_at 240.43
NA 1415781_a_at 8094.69
NA 1415782_at 3029.26
65114 1415783_at 1630.43
65114 1415784_at 409.51
12469 1415785_a_at 1121.06
109820 1415786_at 149.4
14376 1415787_at 431.23
79560 1415788_at 474.4
NA 1415789_a_at 188.66
79560 1415790_at 309.29
80751 1415791_at 329.54
24105 1415792_at 213.49
103711 1415793_at 565.23
20729 1415794_a_at 1020.63
20729 1415795_at 285.46
23994 1415796_at 1813.06
12305 1415797_at 222.4
12305 1415798_at 162.83
60321 1415799_at 440.26
14609 1415800_at 200.91
14609 1415801_at 134.66
20501 1415802_at 192.29
20312 1415803_at 204.37
20312 1415804_at 123.46
109791 1415805_at 121.86
18791 1415806_at 195.77
20382 1415807_s_at 610.37
21984 1415808_at 77.23
21984 1415809_at 66.43
18140 1415810_at 102.54
18140 1415811_at 106.89
227753 1415812_at 3314.54
11800 1415813_at 531.23
11966 1415814_at 502.86
19720 1415815_at 118.83
12468 1415816_at 1944.6
12468 1415817_s_at 682.06
11749 1415818_at 349.23
51792 1415819_a_at 711.11
53610 1415820_x_at 821.91
20320 1415821_at 1487.83
20250 1415822_at 4565.97
20250 1415823_at 1230.34
20250 1415824_at 245.86
104318 1415825_s_at 276.29
108664 1415826_at 635.37
28146 1415827_a_at 7902.29
28146 1415828_a_at 8122.2
98386 1415829_at 324.23
26429 1415830_at 292.69
21762 1415831_at 1322.43
11609 1415832_at 63.4
NA 1415833_x_at 12904.4
67603 1415834_at 283.54
18776 1415835_at 86.11
56454 1415836_at 461.86
16612 1415837_at 80.89
56442 1415838_at 1527.11
18148 1415839_a_at 3044.37
68801 1415840_at 2356.86
13427 1415841_at 1152.49
56716 1415842_at 206.29
56716 1415843_at 172.97
20983 1415844_at 65.26
20983 1415845_at 86.11
16833 1415846_a_at 88.71
16833 1415847_at 123.46
18775 1415848_at 142.77
16765 1415849_s_at 1008.06
19414 1415850_at 146.03
23918 1415851_a_at 1480.06
23918 1415852_at 1162.57
23854 1415853_at 202.63
17311 1415854_at 98.29
17311 1415855_at 483.23
13723 1415856_at 176.46
13723 1415857_at 234.94
56347 1415858_at 1641.54
56347 1415859_at 668.71
NA 1415860_at 1205.51
22178 1415861_at 71.49
22178 1415862_at 96.94
13690 1415863_at 3423.37
12183 1415864_at 6096.89
12183 1415865_s_at 6193.49
101869 1415866_at 190.46
12464 1415867_at 2085.6
12464 1415868_at 91.37
21849 1415869_a_at 550.86
12321 1415870_at 1104.4
21810 1415871_at 114.26
59013 1415872_at 1373.71
54130 1415873_a_at 540.2
24063 1415874_at 270.8
109163 1415875_at 88.71
27370 1415876_a_at 8205.03
22240 1415877_at 123.46
20133 1415878_at 222.4
67186 1415879_a_at 9340.06
16783 1415880_a_at 2573.51
66092 1415881_at 1055.74
66092 1415882_at 1294.83
67868 1415883_a_at 117.29
67868 1415884_at 185.23
12653 1415885_at 111.31
27387 1415886_at 174.63
21787 1415887_at 3266.34
15191 1415888_at 572.49
22027 1415889_a_at 5312.94
23971 1415890_at 1094.97
56451 1415891_at 918.43
20397 1415892_at 202.63
20397 1415893_at 120.31
18606 1415894_at 139.49
NA 1415895_at 956.86
NA 1415896_x_at 998.51
56615 1415897_a_at 661.71
56615 1415898_at 91.37
16477 1415899_at 162.83
16590 1415900_a_at 108.34
26433 1415901_at 440.26
110695 1415902_at 99.71
105727 1415903_at 166.14
16956 1415904_at 333.06
19692 1415905_at 136.34
19241 1415906_at 6831.09
12445 1415907_at 405.77
22110 1415908_at 566.89
20867 1415909_at 601.6
109006 1415910_s_at 307.37
16210 1415911_at 305.57
NA 1415912_a_at 4665.11
NA 1415913_at 114.26
15384 1415914_at 3384.14
104721 1415915_at 896.91
108156 1415916_a_at 531.23
108156 1415917_at 303.71
21991 1415918_a_at 1192.86
18146 1415919_at 1381.6
83410 1415920_at 843.23
29820 1415921_a_at 187
17357 1415922_s_at 272.71
17984 1415923_at 146.03
21958 1415924_at 94.26
18226 1415925_a_at 290.89
18226 1415926_at 343.8
11464 1415927_at 114.26
67443 1415928_a_at 1116.23
67443 1415929_at 1729.26
67443 1415930_a_at 2501.4
16002 1415931_at 92.83
11981 1415932_x_at 340.23
12858 1415933_a_at 2601.51
108679 1415934_at 269.11
64074 1415935_at 650.77
29815 1415936_at 331.29
18571 1415937_s_at 298.03
20730 1415938_at 17595.31
14264 1415939_at 425.83
