Gene Probeset Intensity
54161 1415670_at 492.09
11972 1415671_at 2000.86
57437 1415672_at 1129.4
100678 1415673_at 210.8
60409 1415674_a_at 468.63
13481 1415675_at 343.06
19173 1415676_a_at 1402.86
52585 1415677_at 358.63
19042 1415678_at 1134.91
66340 1415679_at 803.51
17222 1415680_at 208.37
94067 1415681_at 500.06
65246 1415682_at 236.4
18107 1415683_at 1061.71
11793 1415684_at 238.8
76784 1415685_at 393.23
68365 1415686_at 565.43
19156 1415687_a_at 4073.6
67128 1415688_at 993.8
72739 1415689_s_at 166.49
94064 1415690_at 1166.57
13383 1415691_at 1286.09
12330 1415692_s_at 1528.06
67819 1415693_at 202.34
22375 1415694_at 298.86
26440 1415695_at 758
20224 1415696_at 736.2
23881 1415697_at 578.06
105348 1415698_at 298.86
209318 1415699_a_at 928.63
67437 1415700_a_at 660.37
65019 1415701_x_at 4256.29
13016 1415702_a_at 1067.94
59026 1415703_at 432.6
321022 1415704_a_at 516.6
66818 1415705_at 316.09
12847 1415706_at 941.91
99152 1415707_at 427.66
544752 1415708_at 559.91
107338 1415709_s_at 252.37
231430 1415710_at 313.51
211673 1415711_at 661.8
NA 1415712_at 238.8
27225 1415713_a_at 613.51
66618 1415714_a_at 745.03
68366 1415715_at 202.34
57294 1415716_a_at 3034.37
66743 1415717_at 460.63
50724 1415718_at 447.63
74252 1415719_s_at 497.37
66591 1415720_s_at 174.86
74763 1415721_a_at 306.29
66201 1415722_a_at 540.6
217869 1415723_at 1563.71
12540 1415724_a_at 548.66
106298 1415725_at 274.49
81702 1415726_at 621.37
246703 1415727_at 602.29
54196 1415728_at 279.29
18607 1415729_at 950.43
269061 1415730_at 435.23
52477 1415731_at 280.54
193742 1415732_at 494.74
68512 1415733_a_at 647.14
19349 1415734_at 1836.57
13194 1415735_at 598.43
56612 1415736_at 1092.83
54391 1415737_at 575.37
66073 1415738_at 278
68035 1415739_at 442.66
19184 1415740_at 1692.03
21982 1415741_at 659.03
11993 1415742_at 207.31
15184 1415743_at 405.57
14976 1415744_at 700.31
13185 1415745_a_at 322.06
71722 1415746_at 329.54
66878 1415747_s_at 547.37
59288 1415748_a_at 724.06
54170 1415749_a_at 595.89
213773 1415750_at 153.43
15441 1415751_at 900.29
407819 1415752_at 1346.66
216169 1415753_at 963
69833 1415754_at 559.91
66589 1415755_a_at 892.63
20615 1415756_a_at 375.63
107338 1415757_at 292.89
72313 1415758_at 286.74
68576 1415759_a_at 796.83
11927 1415760_s_at 489.46
68836 1415761_at 230.17
68836 1415762_x_at 225.49
76799 1415763_a_at 583.34
70579 1415764_at 1368.03
68693 1415765_at 223.17
20333 1415766_at 390.83
228994 1415767_at 417.14
67615 1415768_a_at 326.94
16396 1415769_at 345.74
83669 1415770_at 660.37
17975 1415771_at 958.66
17975 1415772_at 152.29
17975 1415773_at 393.23
58523 1415774_at 268.37
245688 1415775_at 1864.54
11671 1415776_at 188.91
18946 1415777_at 71.14
56397 1415778_at 2738.66
11465 1415779_s_at 5554.69
67416 1415780_a_at 486.71
NA 1415781_a_at 6124.37
NA 1415782_at 2261.54
65114 1415783_at 1586.49
65114 1415784_at 453.8
12469 1415785_a_at 997.6
109820 1415786_at 111.91
14376 1415787_at 203.63
79560 1415788_at 595.89
NA 1415789_a_at 332.09
79560 1415790_at 332.09
80751 1415791_at 502.69
24105 1415792_at 303.91
103711 1415793_at 314.71
20729 1415794_a_at 1451.37
20729 1415795_at 280.54
23994 1415796_at 1000.11
12305 1415797_at 180.69
12305 1415798_at 123.86
60321 1415799_at 435.23
14609 1415800_at 1504.54
14609 1415801_at 483.94
20501 1415802_at 400.83
20312 1415803_at 2021.46
20312 1415804_at 1163.26
109791 1415805_at 86.03
18791 1415806_at 291.51
20382 1415807_s_at 364.69
21984 1415808_at 67.31
21984 1415809_at 60.66
18140 1415810_at 64.66
18140 1415811_at 78.63
227753 1415812_at 289.37
11800 1415813_at 446.49
11966 1415814_at 3644.43
19720 1415815_at 88.46
12468 1415816_at 1222.57
12468 1415817_s_at 896.63
11749 1415818_at 285.6
51792 1415819_a_at 2021.46
53610 1415820_x_at 457.83
20320 1415821_at 3638.69
20250 1415822_at 3900.49
20250 1415823_at 2008.71
20250 1415824_at 583.34
104318 1415825_s_at 325.71
108664 1415826_at 1343.46
28146 1415827_a_at 527.8
28146 1415828_a_at 323.09
98386 1415829_at 203.63
26429 1415830_at 202.34
21762 1415831_at 1255.91
11609 1415832_at 65.94
NA 1415833_x_at 8470.2
67603 1415834_at 892.63
18776 1415835_at 69.74
56454 1415836_at 118.06
16612 1415837_at 67.31
56442 1415838_at 5319.49
18148 1415839_a_at 1155.89
68801 1415840_at 722.83
13427 1415841_at 954.57
56716 1415842_at 175.91
56716 1415843_at 127.43
20983 1415844_at 1270.31
20983 1415845_at 795.63
