Gene Probeset Intensity
54161 1415670_at 258.34
11972 1415671_at 809.54
57437 1415672_at 1557.77
100678 1415673_at 155.06
60409 1415674_a_at 454.51
13481 1415675_at 295.86
19173 1415676_a_at 906.51
52585 1415677_at 364.77
19042 1415678_at 530.89
66340 1415679_at 1278.71
17222 1415680_at 273.69
94067 1415681_at 434.2
65246 1415682_at 641.66
18107 1415683_at 841.74
11793 1415684_at 207.77
76784 1415685_at 210
68365 1415686_at 264.89
19156 1415687_a_at 2032.89
67128 1415688_at 485.89
72739 1415689_s_at 164.71
94064 1415690_at 416.09
13383 1415691_at 296.74
12330 1415692_s_at 1317.63
67819 1415693_at 479.89
22375 1415694_at 146.34
26440 1415695_at 1903.97
20224 1415696_at 407
23881 1415697_at 469
105348 1415698_at 255.49
209318 1415699_a_at 423.14
67437 1415700_a_at 950.77
65019 1415701_x_at 6913.94
13016 1415702_a_at 898.91
59026 1415703_at 276.46
321022 1415704_a_at 503.26
66818 1415705_at 222.63
12847 1415706_at 817.2
99152 1415707_at 330.54
544752 1415708_at 397.03
107338 1415709_s_at 185.29
231430 1415710_at 209.31
211673 1415711_at 652.4
NA 1415712_at 130.86
27225 1415713_a_at 364.77
66618 1415714_a_at 819.97
68366 1415715_at 174.09
57294 1415716_a_at 4908.57
66743 1415717_at 212.14
50724 1415718_at 205.06
74252 1415719_s_at 300.34
66591 1415720_s_at 342.54
74763 1415721_a_at 380.74
66201 1415722_a_at 656.86
217869 1415723_at 1433.66
12540 1415724_a_at 2507.03
106298 1415725_at 162.49
81702 1415726_at 255.49
246703 1415727_at 354.31
54196 1415728_at 315.11
18607 1415729_at 463
269061 1415730_at 256.83
52477 1415731_at 293.71
193742 1415732_at 385.97
68512 1415733_a_at 615.26
19349 1415734_at 1029.6
13194 1415735_at 495.94
56612 1415736_at 909.17
54391 1415737_at 559.34
66073 1415738_at 377.14
68035 1415739_at 247.54
19184 1415740_at 667.43
21982 1415741_at 1213.86
11993 1415742_at 255.49
15184 1415743_at 167.2
14976 1415744_at 776.4
13185 1415745_a_at 319.57
71722 1415746_at 435.71
66878 1415747_s_at 1738
59288 1415748_a_at 499.4
54170 1415749_a_at 470.57
213773 1415750_at 138.91
15441 1415751_at 746.91
407819 1415752_at 753.63
216169 1415753_at 297.94
69833 1415754_at 360.26
66589 1415755_a_at 518.34
20615 1415756_a_at 231.17
107338 1415757_at 126.23
72313 1415758_at 340.97
68576 1415759_a_at 822.83
11927 1415760_s_at 825.46
68836 1415761_at 204.29
68836 1415762_x_at 230.31
76799 1415763_a_at 501.66
70579 1415764_at 665.06
68693 1415765_at 496.83
20333 1415766_at 174.09
228994 1415767_at 297.34
67615 1415768_a_at 416.09
16396 1415769_at 223.97
83669 1415770_at 165.86
17975 1415771_at 2173.57
17975 1415772_at 138.34
17975 1415773_at 1376.09
58523 1415774_at 142.37
245688 1415775_at 2323.8
11671 1415776_at 174.94
18946 1415777_at 83.77
56397 1415778_at 1480.97
11465 1415779_s_at 6066.86
67416 1415780_a_at 123.57
NA 1415781_a_at 5427.77
NA 1415782_at 2622.31
65114 1415783_at 1382.06
65114 1415784_at 382.97
12469 1415785_a_at 963.57
109820 1415786_at 105.06
14376 1415787_at 281.51
79560 1415788_at 446
NA 1415789_a_at 192.37
79560 1415790_at 162.49
80751 1415791_at 441.43
24105 1415792_at 278.49
103711 1415793_at 1008.97
20729 1415794_a_at 360.97
20729 1415795_at 130.17
23994 1415796_at 1741.06
12305 1415797_at 111.66
12305 1415798_at 107.66
60321 1415799_at 506.49
14609 1415800_at 207.14
14609 1415801_at 132.29
20501 1415802_at 1400.49
20312 1415803_at 136.34
20312 1415804_at 181.83
109791 1415805_at 83.06
18791 1415806_at 85.6
20382 1415807_s_at 693
21984 1415808_at 67.57
21984 1415809_at 78.63
18140 1415810_at 492.74
18140 1415811_at 192.37
227753 1415812_at 1024
11800 1415813_at 556.09
11966 1415814_at 934.06
19720 1415815_at 81.2
12468 1415816_at 1010.6
12468 1415817_s_at 437.94
11749 1415818_at 200.14
51792 1415819_a_at 535.94
53610 1415820_x_at 645.69
20320 1415821_at 1718.94
20250 1415822_at 499.4
20250 1415823_at 231.17
20250 1415824_at 91.43
104318 1415825_s_at 211.4
108664 1415826_at 203.63
28146 1415827_a_at 2230.29
28146 1415828_a_at 2035.11
98386 1415829_at 2805.09
26429 1415830_at 186.74
21762 1415831_at 514.23
11609 1415832_at 69.54
NA 1415833_x_at 9609.43
67603 1415834_at 277.09
18776 1415835_at 77.94
56454 1415836_at 139.57
16612 1415837_at 118.31
56442 1415838_at 757.34
18148 1415839_a_at 2579.2
68801 1415840_at 639
13427 1415841_at 887.03
56716 1415842_at 257.57
56716 1415843_at 152.43
20983 1415844_at 57.83
20983 1415845_at 84.29
16833 1415846_a_at 124.91
16833 1415847_at 164.71
18775 1415848_at 122.86
