Gene Probeset Intensity
54161 1415670_at 385
11972 1415671_at 1397
57437 1415672_at 1636
100678 1415673_at 88
60409 1415674_a_at 690
13481 1415675_at 361
19173 1415676_a_at 1537
52585 1415677_at 172
19042 1415678_at 726
66340 1415679_at 1408
17222 1415680_at 229
94067 1415681_at 646
65246 1415682_at 187
18107 1415683_at 1063
11793 1415684_at 209
76784 1415685_at 342
68365 1415686_at 717
19156 1415687_a_at 1101
67128 1415688_at 1195
72739 1415689_s_at 588
94064 1415690_at 1164
13383 1415691_at 535
12330 1415692_s_at 2020
67819 1415693_at 134
22375 1415694_at 132
26440 1415695_at 1301
20224 1415696_at 1398
23881 1415697_at 589
105348 1415698_at 548
209318 1415699_a_at 1283
67437 1415700_a_at 1379
65019 1415701_x_at 8952
13016 1415702_a_at 2079
59026 1415703_at 683
321022 1415704_a_at 1652
66818 1415705_at 317
12847 1415706_at 2082
99152 1415707_at 660
544752 1415708_at 1317
107338 1415709_s_at 187
231430 1415710_at 309
211673 1415711_at 466
NA 1415712_at 280
27225 1415713_a_at 263
66618 1415714_a_at 1356
68366 1415715_at 88
57294 1415716_a_at 6666
66743 1415717_at 264
50724 1415718_at 340
74252 1415719_s_at 550
66591 1415720_s_at 157
74763 1415721_a_at 180
66201 1415722_a_at 825
217869 1415723_at 2016
12540 1415724_a_at 542
106298 1415725_at 422
81702 1415726_at 559
246703 1415727_at 1039
54196 1415728_at 956
18607 1415729_at 624
269061 1415730_at 548
52477 1415731_at 252
193742 1415732_at 154
68512 1415733_a_at 927
19349 1415734_at 907
13194 1415735_at 1372
56612 1415736_at 1859
54391 1415737_at 318
66073 1415738_at 462
68035 1415739_at 424
19184 1415740_at 1758
21982 1415741_at 1343
11993 1415742_at 129
15184 1415743_at 327
14976 1415744_at 1170
13185 1415745_a_at 224
71722 1415746_at 313
66878 1415747_s_at 909
59288 1415748_a_at 569
54170 1415749_a_at 433
213773 1415750_at 96
15441 1415751_at 1316
407819 1415752_at 1249
216169 1415753_at 459
69833 1415754_at 673
66589 1415755_a_at 1176
20615 1415756_a_at 282
107338 1415757_at 216
72313 1415758_at 458
68576 1415759_a_at 755
11927 1415760_s_at 706
68836 1415761_at 297
68836 1415762_x_at 513
76799 1415763_a_at 682
70579 1415764_at 3221
68693 1415765_at 284
20333 1415766_at 287
228994 1415767_at 721
67615 1415768_a_at 1004
16396 1415769_at 260
83669 1415770_at 2072
17975 1415771_at 2120
17975 1415772_at 155
17975 1415773_at 451
58523 1415774_at 169
245688 1415775_at 3144
11671 1415776_at 44
18946 1415777_at 12
56397 1415778_at 3744
11465 1415779_s_at 10549
67416 1415780_a_at 1212
NA 1415781_a_at 7767
NA 1415782_at 4963
65114 1415783_at 1327
65114 1415784_at 39
12469 1415785_a_at 1275
109820 1415786_at 19
14376 1415787_at 228
79560 1415788_at 475
NA 1415789_a_at 81
79560 1415790_at 133
80751 1415791_at 329
24105 1415792_at 308
103711 1415793_at 137
20729 1415794_a_at 1436
20729 1415795_at 41
23994 1415796_at 749
12305 1415797_at 368
12305 1415798_at 75
60321 1415799_at 478
14609 1415800_at 901
14609 1415801_at 116
20501 1415802_at 266
20312 1415803_at 28
20312 1415804_at 38
109791 1415805_at 14
18791 1415806_at 176
20382 1415807_s_at 1147
21984 1415808_at 9
21984 1415809_at 8
18140 1415810_at 929
18140 1415811_at 157
227753 1415812_at 241
11800 1415813_at 696
11966 1415814_at 1004
19720 1415815_at 14
12468 1415816_at 2918
12468 1415817_s_at 1423
11749 1415818_at 345
51792 1415819_a_at 968
53610 1415820_x_at 1350
20320 1415821_at 770
20250 1415822_at 3420
20250 1415823_at 698
20250 1415824_at 30
104318 1415825_s_at 428
108664 1415826_at 657
28146 1415827_a_at 1109
28146 1415828_a_at 484
98386 1415829_at 718
26429 1415830_at 160
21762 1415831_at 1534
11609 1415832_at 134
NA 1415833_x_at 13133
67603 1415834_at 435
18776 1415835_at 7
56454 1415836_at 113
16612 1415837_at 7
56442 1415838_at 1687
18148 1415839_a_at 4497
68801 1415840_at 1011
13427 1415841_at 1231
56716 1415842_at 110
56716 1415843_at 17
20983 1415844_at 101
20983 1415845_at 299
16833 1415846_a_at 6
16833 1415847_at 13
18775 1415848_at 54
16765 1415849_s_at 13482
19414 1415850_at 127
23918 1415851_a_at 1806
23918 1415852_at 2630
23854 1415853_at 106
17311 1415854_at 7
17311 1415855_at 197
13723 1415856_at 122
13723 1415857_at 197
56347 1415858_at 1965
56347 1415859_at 1057
NA 1415860_at 2091
22178 1415861_at 11
22178 1415862_at 9
13690 1415863_at 4051
12183 1415864_at 321
12183 1415865_s_at 484
101869 1415866_at 74
12464 1415867_at 2720
12464 1415868_at 35
21849 1415869_a_at 2680
12321 1415870_at 1323
21810 1415871_at 295
59013 1415872_at 5074
54130 1415873_a_at 766
24063 1415874_at 225
109163 1415875_at 25
27370 1415876_a_at 9718
22240 1415877_at 2157
20133 1415878_at 698
67186 1415879_a_at 12723
16783 1415880_a_at 1547
66092 1415881_at 388
66092 1415882_at 624
67868 1415883_a_at 12
67868 1415884_at 48
12653 1415885_at 171
27387 1415886_at 84
21787 1415887_at 1211
15191 1415888_at 853
22027 1415889_a_at 1003
23971 1415890_at 1041
56451 1415891_at 1116
20397 1415892_at 109
20397 1415893_at 16
18606 1415894_at 102
NA 1415895_at 2234
NA 1415896_x_at 1812
56615 1415897_a_at 388
56615 1415898_at 7
16477 1415899_at 10
16590 1415900_a_at 27
26433 1415901_at 292
110695 1415902_at 10
105727 1415903_at 241
16956 1415904_at 264
19692 1415905_at 15
19241 1415906_at 11593
12445 1415907_at 548
22110 1415908_at 482
20867 1415909_at 434
109006 1415910_s_at 414
16210 1415911_at 436
NA 1415912_a_at 3967
NA 1415913_at 105
15384 1415914_at 5218
104721 1415915_at 1157
108156 1415916_a_at 668
108156 1415917_at 169
21991 1415918_a_at 3215
18146 1415919_at 517
83410 1415920_at 820
29820 1415921_a_at 22
17357 1415922_s_at 3896
17984 1415923_at 2687
21958 1415924_at 8
18226 1415925_a_at 352
18226 1415926_at 371
11464 1415927_at 2255
67443 1415928_a_at 1265
67443 1415929_at 1321
67443 1415930_a_at 1037
16002 1415931_at 28
11981 1415932_x_at 438
12858 1415933_a_at 2657
108679 1415934_at 408
64074 1415935_at 158
29815 1415936_at 91
18571 1415937_s_at 41
20730 1415938_at 9
14264 1415939_at 28
100494 1415940_at 150
100494 1415941_s_at 68
110954 1415942_at 9031
20969 1415943_at 326
20969 1415944_at 149
17218 1415945_at 484
14755 1415946_at 229
NA 1415947_at 162
433375 1415948_at 56
12876 1415949_at 2533
23980 1415950_a_at 4297
14230 1415951_at 318
13728 1415952_at 216
13728 1415953_s_at 163
NA 1415954_at 7
19118 1415955_x_at 101
18555 1415956_a_at 315
18114 1415957_a_at 204
20528 1415958_at 53
20528 1415959_at 55
17523 1415960_at 14
64294 1415961_at 1113
68135 1415962_at 2586
56258 1415963_at 590
20249 1415964_at 103
20249 1415965_at 21
17995 1415966_a_at 755
17995 1415967_at 786
16483 1415968_a_at 78
16483 1415969_s_at 7
12864 1415970_at 3160
17118 1415971_at 4097
17118 1415972_at 2245
17118 1415973_at 2910
26396 1415974_at 680
52502 1415975_at 407
52502 1415976_a_at 180
71780 1415977_at 365
22152 1415978_at 1487
19989 1415979_x_at 6304
67942 1415980_at 1894
80517 1415981_at 247
80517 1415982_at 101
18826 1415983_at 71
11364 1415984_at 746
101943 1415985_at 968
12727 1415986_at 807
110611 1415987_at 633
110611 1415988_at 43
22329 1415989_at 184
22334 1415990_at 2325
71765 1415991_a_at 2276
56703 1415992_at 123
20775 1415993_at 948
13106 1415994_at 11
12368 1415995_at 251
56338 1415996_at 382
56338 1415997_at 109
22333 1415998_at 1580
15213 1415999_at 307
18477 1416000_a_at 2661
72042 1416001_a_at 636
72042 1416002_x_at 301
