Gene Probeset Intensity
NA AFFX-MurIL2_at 4.4
NA AFFX-MurIL10_at 5.4
NA AFFX-MurIL4_at 5.1
NA AFFX-MurFAS_at 21.3
NA AFFX-BioB-5_at 176.2
NA AFFX-BioB-M_at 439.9
NA AFFX-BioB-3_at 175
NA AFFX-BioC-5_at 629.7
NA AFFX-BioC-3_at 508.8
NA AFFX-BioDn-5_at 622.1
NA AFFX-BioDn-3_at 2852.4
NA AFFX-CreX-5_at 6096.2
NA AFFX-CreX-3_at 7595.6
NA AFFX-BioB-5_st 13.5
NA AFFX-BioB-M_st 20.3
NA AFFX-BioB-3_st 7.1
NA AFFX-BioC-5_st 3.9
NA AFFX-BioC-3_st 5.2
NA AFFX-BioDn-5_st 40.7
NA AFFX-BioDn-3_st 55.8
NA AFFX-CreX-5_st 30.1
NA AFFX-CreX-3_st 102
NA AFFX-DapX-5_at 10.3
NA AFFX-DapX-M_at 14.5
NA AFFX-DapX-3_at 2.1
NA AFFX-LysX-5_at 8.6
NA AFFX-LysX-M_at 1.8
NA AFFX-LysX-3_at 1.1
NA AFFX-PheX-5_at 3.2
NA AFFX-PheX-M_at 2
NA AFFX-PheX-3_at 5.6
NA AFFX-ThrX-5_at 2.6
NA AFFX-ThrX-M_at 5.3
NA AFFX-ThrX-3_at 2.3
NA AFFX-TrpnX-5_at 4.3
NA AFFX-TrpnX-M_at 1.2
NA AFFX-TrpnX-3_at 5.3
NA AFFX-b-ActinMur/M12481_5_at 3076.6
NA AFFX-b-ActinMur/M12481_M_at 3672.8
NA AFFX-b-ActinMur/M12481_3_at 5120.7
NA AFFX-GapdhMur/M32599_5_at 1290.3
NA AFFX-GapdhMur/M32599_M_at 1457.3
NA AFFX-GapdhMur/M32599_3_at 1494.5
NA AFFX-TransRecMur/X57349_5_at 3.8
NA AFFX-TransRecMur/X57349_M_at 1.1
NA AFFX-TransRecMur/X57349_3_at 20.9
NA AFFX-PyruCarbMur/L09192_5_at 24.6
NA AFFX-PyruCarbMur/L09192_MA_at 9.2
NA AFFX-PyruCarbMur/L09192_MB_at 19.5
NA AFFX-PyruCarbMur/L09192_3_at 11.1
NA AFFX-18SRNAMur/X00686_5_at 8.6
NA AFFX-18SRNAMur/X00686_M_at 3.1
NA AFFX-18SRNAMur/X00686_3_at 35.1
NA AFFX-MUR_b2_at 360
NA AFFX-MURINE_b1_at 1326.7
NA AFFX-MURINE_B2_at 8976
NA AFFX-GapdhMur/M32599_5_st 4
NA AFFX-GapdhMur/M32599_M_st 30
NA AFFX-GapdhMur/M32599_3_st 54.5
NA AFFX-b-ActinMur/M12481_5_st 29.6
NA AFFX-b-ActinMur/M12481_M_st 41.2
NA AFFX-b-ActinMur/M12481_3_st 72.6
NA AFFX-YEL002c/WBP1_at 6.6
NA AFFX-YEL018w/_at 0.3
NA AFFX-YEL024w/RIP1_at 14.8
NA AFFX-YEL021w/URA3_at 14.2
20194 92539_at 843.1
20810 92540_f_at 85.7
17901 92541_at 14.2
27981 92542_at 1483.5
26396 92543_at 74.2
19167 92544_f_at 1070.4
19215 92545_f_at 15.5
19215 92546_r_at 13
53323 92547_at 46.9
53323 92548_g_at 45.5
18769 92549_at 739.5
16669 92550_at 0.9
16881 92551_at 47.6
13885 92553_at 285.8
NA 92554_at 17.4
56496 92555_at 1.6
83702 92556_at 16.4
15485 92557_at 13.1
22329 92558_at 304.7
22329 92559_at 18.9
22329 92560_g_at 63.8
12499 92561_at 40.4
18024 92562_at 183.9
16978 92563_at 98
16978 92564_at 75.4
66118 92565_at 205.6
13144 92566_at 26.4
12832 92567_at 1.5
15278 92568_at 56.2
55989 92569_f_at 77.7
67942 92570_at 4.5
15525 92571_at 127.2
21927 92572_at 20.4
51792 92573_at 606.2
66925 92574_at 360.7
11632 92575_at 233.2
67281 92577_f_at 5346.7
13722 92578_at 308.2
20823 92579_at 57.7
15115 92580_at 113.8
11364 92581_at 163.6
20514 92582_at 25.9
20714 92583_at 22.9
71966 92584_at 71.8
26395 92585_at 196.9
14661 92586_at 205.5
14148 92587_at 110.3
100678 92589_at 157.4
15360 92590_at 3.5
14555 92592_at 55.2
50706 92593_at 20.3
11766 92594_at 33.7
14151 92595_r_at 5.5
12301 92596_at 71.2
11966 92597_s_at 36.5
11966 92598_at 416.3
56012 92599_at 2.2
13117 92600_f_at 7.6
18946 92601_at 3.6
21393 92602_at 6.7
11972 92603_at 369.1
22242 92605_at 9.7
22262 92606_at 1.7
17294 92607_at 6.8
13007 92608_at 55.8
27632 92610_at 118.8
53872 92611_at 412.6
26459 92612_at 8.1
15903 92614_at 244.1
230075 92615_at 282.8
22201 92616_at 531.8
NA 92617_at 11.1
378702 92618_at 15.8
22377 92619_at 382.9
18521 92621_at 875.9
73658 92622_at 176.1
229663 92623_at 450.4
16939 92624_r_at 85.6
NA 92625_at 640
18146 92626_at 4.6
NA 92628_at 2175.5
15191 92629_f_at 726.9
15191 92630_r_at 310.5
12315 92631_f_at 138.9
12315 92632_at 295.1
64138 92633_at 468.2
13482 92634_at 60.5
22145 92635_at 34.1
NA 92636_f_at 432.6
18641 92637_at 271.4
19052 92638_at 104
20878 92639_at 26.7
65114 92640_at 204.8
12349 92642_at 198.9
18016 92643_at 146.5
17863 92644_s_at 130.2
21762 92645_at 16.1
19935 92646_at 315.5
