Gene Probeset Intensity
54161 1415670_at 221.06
11972 1415671_at 598.14
57437 1415672_at 1115.2
100678 1415673_at 144.06
60409 1415674_a_at 414.57
13481 1415675_at 195.89
19173 1415676_a_at 1399.74
52585 1415677_at 500.17
19042 1415678_at 1233.31
66340 1415679_at 1064.37
17222 1415680_at 279.49
94067 1415681_at 546.14
65246 1415682_at 147.83
18107 1415683_at 808.89
11793 1415684_at 238.89
76784 1415685_at 461.83
68365 1415686_at 336.23
19156 1415687_a_at 3265.29
67128 1415688_at 1390.83
72739 1415689_s_at 245.71
94064 1415690_at 1126.11
13383 1415691_at 558.49
12330 1415692_s_at 1635.63
67819 1415693_at 395.03
22375 1415694_at 219.17
26440 1415695_at 1123.89
20224 1415696_at 915.91
23881 1415697_at 313.74
105348 1415698_at 329.94
209318 1415699_a_at 423.8
67437 1415700_a_at 1179.54
65019 1415701_x_at 5969.31
13016 1415702_a_at 786
59026 1415703_at 542.31
321022 1415704_a_at 1166.31
66818 1415705_at 395.03
12847 1415706_at 1037.91
99152 1415707_at 303.94
544752 1415708_at 286.11
107338 1415709_s_at 242.69
231430 1415710_at 257.37
211673 1415711_at 730.17
NA 1415712_at 234.83
27225 1415713_a_at 757.49
66618 1415714_a_at 1216.51
68366 1415715_at 317.69
57294 1415716_a_at 4596.34
66743 1415717_at 288.14
50724 1415718_at 397.14
74252 1415719_s_at 570.14
66591 1415720_s_at 299.83
74763 1415721_a_at 316.74
66201 1415722_a_at 434.2
217869 1415723_at 1130.46
12540 1415724_a_at 1256.46
106298 1415725_at 230.03
81702 1415726_at 492.06
246703 1415727_at 734.4
54196 1415728_at 230.91
18607 1415729_at 391.14
269061 1415730_at 366.69
52477 1415731_at 289.23
193742 1415732_at 502.23
68512 1415733_a_at 2155.31
19349 1415734_at 1274.51
13194 1415735_at 525.4
56612 1415736_at 1077.66
54391 1415737_at 1033.6
66073 1415738_at 491
68035 1415739_at 287.06
19184 1415740_at 620.77
21982 1415741_at 478.43
11993 1415742_at 215.34
15184 1415743_at 311.8
14976 1415744_at 693.91
13185 1415745_a_at 466
71722 1415746_at 606
66878 1415747_s_at 789.89
59288 1415748_a_at 470.97
54170 1415749_a_at 580.46
213773 1415750_at 169.89
15441 1415751_at 737.46
407819 1415752_at 648.03
216169 1415753_at 340.29
69833 1415754_at 764.63
66589 1415755_a_at 536.06
20615 1415756_a_at 671.8
107338 1415757_at 200.71
72313 1415758_at 258.51
68576 1415759_a_at 1268.94
11927 1415760_s_at 853.2
68836 1415761_at 303.09
68836 1415762_x_at 305
76799 1415763_a_at 427.66
70579 1415764_at 778.86
68693 1415765_at 180.4
20333 1415766_at 183.26
228994 1415767_at 359.71
67615 1415768_a_at 1001.23
16396 1415769_at 225.17
83669 1415770_at 209.29
17975 1415771_at 842.37
17975 1415772_at 154.51
17975 1415773_at 422.89
58523 1415774_at 182.31
245688 1415775_at 2487.71
11671 1415776_at 178.37
18946 1415777_at 99.86
56397 1415778_at 1157.89
11465 1415779_s_at 1895.34
67416 1415780_a_at 246.63
NA 1415781_a_at 5570.74
NA 1415782_at 2925.74
65114 1415783_at 1432.43
65114 1415784_at 280.46
12469 1415785_a_at 614.43
109820 1415786_at 155.4
14376 1415787_at 171.86
79560 1415788_at 421.8
NA 1415789_a_at 278.34
79560 1415790_at 235.77
80751 1415791_at 645.94
24105 1415792_at 230.91
103711 1415793_at 350.51
20729 1415794_a_at 248.6
20729 1415795_at 144.06
23994 1415796_at 1994.74
12305 1415797_at 234.83
12305 1415798_at 119.2
60321 1415799_at 498.17
14609 1415800_at 3732.03
14609 1415801_at 1494.69
20501 1415802_at 3026.11
20312 1415803_at 148.74
20312 1415804_at 213.23
109791 1415805_at 139.4
18791 1415806_at 332.03
20382 1415807_s_at 313.74
21984 1415808_at 83
21984 1415809_at 77.4
18140 1415810_at 83.89
18140 1415811_at 97.31
