Gene Probeset Intensity
NA AFFX-MurIL2_at 4.5
NA AFFX-MurIL10_at 2.4
NA AFFX-MurIL4_at 6.9
NA AFFX-MurFAS_at 15
NA AFFX-BioB-5_at 119.5
NA AFFX-BioB-M_at 273.8
NA AFFX-BioB-3_at 117.3
NA AFFX-BioC-5_at 422.7
NA AFFX-BioC-3_at 365.7
NA AFFX-BioDn-5_at 340.6
NA AFFX-BioDn-3_at 2121.6
NA AFFX-CreX-5_at 3239.7
NA AFFX-CreX-3_at 5549.6
NA AFFX-BioB-5_st 1.9
NA AFFX-BioB-M_st 25.7
NA AFFX-BioB-3_st 5
NA AFFX-BioC-5_st 6.5
NA AFFX-BioC-3_st 2.2
NA AFFX-BioDn-5_st 45.4
NA AFFX-BioDn-3_st 48.2
NA AFFX-CreX-5_st 12.5
NA AFFX-CreX-3_st 50.5
NA AFFX-DapX-5_at 9.2
NA AFFX-DapX-M_at 9.4
NA AFFX-DapX-3_at 1.4
NA AFFX-LysX-5_at 3.2
NA AFFX-LysX-M_at 5.4
NA AFFX-LysX-3_at 0.6
NA AFFX-PheX-5_at 0.7
NA AFFX-PheX-M_at 1.8
NA AFFX-PheX-3_at 4.9
NA AFFX-ThrX-5_at 1.4
NA AFFX-ThrX-M_at 1
NA AFFX-ThrX-3_at 1.6
NA AFFX-TrpnX-5_at 9.6
NA AFFX-TrpnX-M_at 1
NA AFFX-TrpnX-3_at 1.5
NA AFFX-b-ActinMur/M12481_5_at 5467.7
NA AFFX-b-ActinMur/M12481_M_at 5629.9
NA AFFX-b-ActinMur/M12481_3_at 6280.8
NA AFFX-GapdhMur/M32599_5_at 2263.8
NA AFFX-GapdhMur/M32599_M_at 2012.6
NA AFFX-GapdhMur/M32599_3_at 1710.7
NA AFFX-TransRecMur/X57349_5_at 7.6
NA AFFX-TransRecMur/X57349_M_at 2.2
NA AFFX-TransRecMur/X57349_3_at 27.6
NA AFFX-PyruCarbMur/L09192_5_at 20.2
NA AFFX-PyruCarbMur/L09192_MA_at 7.2
NA AFFX-PyruCarbMur/L09192_MB_at 16.6
NA AFFX-PyruCarbMur/L09192_3_at 10.2
NA AFFX-18SRNAMur/X00686_5_at 2
NA AFFX-18SRNAMur/X00686_M_at 2.7
NA AFFX-18SRNAMur/X00686_3_at 30.7
NA AFFX-MUR_b2_at 195.2
NA AFFX-MURINE_b1_at 870.8
NA AFFX-MURINE_B2_at 7487.2
NA AFFX-GapdhMur/M32599_5_st 2.4
NA AFFX-GapdhMur/M32599_M_st 24.7
NA AFFX-GapdhMur/M32599_3_st 5.9
NA AFFX-b-ActinMur/M12481_5_st 24.9
NA AFFX-b-ActinMur/M12481_M_st 21.2
NA AFFX-b-ActinMur/M12481_3_st 33.8
NA AFFX-YEL002c/WBP1_at 3.4
NA AFFX-YEL018w/_at 0.3
NA AFFX-YEL024w/RIP1_at 5.3
NA AFFX-YEL021w/URA3_at 5.1
20194 92539_at 1323.6
20810 92540_f_at 114.3
17901 92541_at 20.8
27981 92542_at 887.3
26396 92543_at 87.9
19167 92544_f_at 974.9
19215 92545_f_at 3.2
19215 92546_r_at 5.8
53323 92547_at 51
53323 92548_g_at 60.9
18769 92549_at 849.6
16669 92550_at 0.7
16881 92551_at 85.3
13885 92553_at 225.6
NA 92554_at 9.3
56496 92555_at 12.1
83702 92556_at 11.1
15485 92557_at 5.3
22329 92558_at 369.9
22329 92559_at 25.6
22329 92560_g_at 87
12499 92561_at 29.8
18024 92562_at 121.6
16978 92563_at 89.5
16978 92564_at 46.5
66118 92565_at 153.1
13144 92566_at 22.8
12832 92567_at 4.6
15278 92568_at 41.2
55989 92569_f_at 55.8
67942 92570_at 20
15525 92571_at 101
21927 92572_at 13
51792 92573_at 637.2
66925 92574_at 401.7
11632 92575_at 210
67281 92577_f_at 4749.5
13722 92578_at 275.2
20823 92579_at 42
15115 92580_at 128.4
11364 92581_at 152.4
20514 92582_at 29.2
20714 92583_at 2.4
71966 92584_at 118
26395 92585_at 209.5
14661 92586_at 156.8
14148 92587_at 139.7
100678 92589_at 167.3
15360 92590_at 1.9
14555 92592_at 46.4
50706 92593_at 12.6
11766 92594_at 26.1
14151 92595_r_at 4.5
12301 92596_at 52
11966 92597_s_at 23.5
11966 92598_at 377.6
56012 92599_at 1.2
13117 92600_f_at 5.5
18946 92601_at 3.1
21393 92602_at 14.2
11972 92603_at 426.8
22242 92605_at 1.5
22262 92606_at 0.8
17294 92607_at 1.3
13007 92608_at 73.1
27632 92610_at 131.2
53872 92611_at 369
26459 92612_at 4.2
15903 92614_at 155.1
230075 92615_at 341.7
22201 92616_at 587
NA 92617_at 12.9
378702 92618_at 12.2
22377 92619_at 480.7
18521 92621_at 982.9
73658 92622_at 184.8
229663 92623_at 435.5
16939 92624_r_at 113.2
NA 92625_at 798.6
18146 92626_at 4.1
NA 92628_at 2499.4
15191 92629_f_at 724.6
15191 92630_r_at 604.7
12315 92631_f_at 193.1
12315 92632_at 322.5
64138 92633_at 421.6
13482 92634_at 33.2
22145 92635_at 49
NA 92636_f_at 415.2
18641 92637_at 241.5
19052 92638_at 53.1
20878 92639_at 24.6
65114 92640_at 144
12349 92642_at 274
18016 92643_at 120.2
17863 92644_s_at 140.4
21762 92645_at 7.7
19935 92646_at 313.3
19646 92647_at 328.9
20912 92648_at 116.3
11656 92768_s_at 204.7
22123 92769_at 445.8
20200 92770_at 155.2
22680 92771_at 140.2
18186 92773_at 6.7
NA 92774_at 13.3
230721 92775_at 324.8
16007 92777_at 12.1
NA 92778_i_at 2205.5
NA 92779_f_at 194.9
NA 92780_f_at 1393.8
21917 92781_at 18.6
21917 92782_at 101.6
14599 92783_at 103
230101 92784_at 1.2
98363 92786_at 14
102334 92787_at 456.7
12626 92788_f_at 261.8
12626 92789_r_at 17.9
NA 92790_at 42.8
22228 92792_at 1.5
21937 92793_at 29.1
18102 92794_f_at 53.8
17758 92795_at 39.3
11647 92796_at 51.6
26554 92797_at 265
11949 92798_at 465.9
11949 92799_g_at 726.3
NA 92800_i_at 985.9
18823 92801_at 10.5
18823 92802_s_at 13.8
19109 92803_at 22.7
245841 92804_at 126.4
11861 92805_s_at 55.8
68559 92806_at 231.6
22166 92807_at 587.4
14228 92808_f_at 421
14228 92809_r_at 151.3
236900 92810_at 113.1
19660 92811_at 1.4
NA 92812_f_at 32.3
13110 92813_at 0.9
13109 92814_at 2.2
13681 92816_r_at 97
102462 92817_at 502.9
22200 92818_at 38.5
53376 92820_at 7.3
53376 92821_at 10.5
54369 92824_at 69.1
22024 92825_at 1.4
14548 92826_at 92.7
18193 92827_at 14.2
13480 92828_at 111.6
15528 92829_at 408
22695 92830_s_at 1197.6
14057 92831_at 173.6
12703 92832_at 97.6
15109 92833_at 9.4
22121 92834_at 313.1
66116 92835_at 57.9
13717 92836_at 62.7
17836 92837_f_at 2.9
14086 92838_at 276.1
20639 92839_f_at 14.9
269113 92840_at 76.3
12653 92841_f_at 3.4
12653 92842_r_at 3.5
208643 92843_r_at 5.8
67041 92845_at 91.1
17113 92846_at 9.5
17113 92847_s_at 85.9
18242 92848_at 152.1
20305 92849_at 18.1
81910 92850_at 143.7
12870 92851_at 3
14268 92852_at 101.7
15507 92853_at 1.5
53869 92854_at 267.7
20918 92855_at 1172.9
19934 92856_at 44.2
