Gene Probeset Intensity
54161 1415670_at 1460.37
11972 1415671_at 1481.2
57437 1415672_at 1342.63
100678 1415673_at 221.26
60409 1415674_a_at 566.77
13481 1415675_at 409.94
19173 1415676_a_at 1293.2
52585 1415677_at 450.11
19042 1415678_at 784.71
66340 1415679_at 1547.37
17222 1415680_at 455.57
94067 1415681_at 539
65246 1415682_at 263.89
18107 1415683_at 930.34
11793 1415684_at 433.94
76784 1415685_at 458.29
68365 1415686_at 442
19156 1415687_a_at 2431.2
67128 1415688_at 908.26
72739 1415689_s_at 246.23
94064 1415690_at 1324.43
13383 1415691_at 667.89
12330 1415692_s_at 2852.71
67819 1415693_at 547.31
22375 1415694_at 206.74
26440 1415695_at 1380.8
20224 1415696_at 2554.49
23881 1415697_at 1023.14
105348 1415698_at 325.4
209318 1415699_a_at 1085.54
67437 1415700_a_at 3272.17
65019 1415701_x_at 9458.43
13016 1415702_a_at 1300.77
59026 1415703_at 610.89
321022 1415704_a_at 1082.34
66818 1415705_at 608.06
12847 1415706_at 4287.2
99152 1415707_at 713.31
544752 1415708_at 855.97
107338 1415709_s_at 314.89
231430 1415710_at 348.8
211673 1415711_at 985.43
NA 1415712_at 199.2
27225 1415713_a_at 503.57
66618 1415714_a_at 802
68366 1415715_at 340.89
57294 1415716_a_at 7338.86
66743 1415717_at 436.71
50724 1415718_at 286.69
74252 1415719_s_at 330.37
66591 1415720_s_at 251.2
74763 1415721_a_at 286.69
66201 1415722_a_at 665.03
217869 1415723_at 1998.91
12540 1415724_a_at 1386.83
106298 1415725_at 299.6
81702 1415726_at 739.63
246703 1415727_at 951.83
54196 1415728_at 325.4
18607 1415729_at 599.97
269061 1415730_at 641.74
52477 1415731_at 354.14
193742 1415732_at 948.66
68512 1415733_a_at 966.71
19349 1415734_at 1806.29
13194 1415735_at 769.74
56612 1415736_at 1295.8
54391 1415737_at 994.43
66073 1415738_at 1017.14
68035 1415739_at 409.94
19184 1415740_at 1085.54
21982 1415741_at 1751.2
11993 1415742_at 291.63
15184 1415743_at 291.63
14976 1415744_at 721.86
13185 1415745_a_at 474.2
71722 1415746_at 394.06
66878 1415747_s_at 939.43
59288 1415748_a_at 924.14
54170 1415749_a_at 1076.2
213773 1415750_at 209
15441 1415751_at 1132.63
407819 1415752_at 2273.06
216169 1415753_at 630.6
69833 1415754_at 707.46
66589 1415755_a_at 731.14
20615 1415756_a_at 525.29
107338 1415757_at 399.31
72313 1415758_at 447.4
68576 1415759_a_at 667.89
11927 1415760_s_at 391.34
68836 1415761_at 466.66
68836 1415762_x_at 520
76799 1415763_a_at 463.8
70579 1415764_at 2566.17
68693 1415765_at 271.34
20333 1415766_at 1072.94
228994 1415767_at 695.86
67615 1415768_a_at 597.34
16396 1415769_at 444.69
83669 1415770_at 2830.2
17975 1415771_at 1982.57
17975 1415772_at 243.57
17975 1415773_at 1050.03
58523 1415774_at 391.34
245688 1415775_at 2805.03
11671 1415776_at 322.8
18946 1415777_at 90.6
56397 1415778_at 4991.4
11465 1415779_s_at 7129.71
67416 1415780_a_at 1178.26
NA 1415781_a_at 6641.57
NA 1415782_at 3558.54
65114 1415783_at 1876.14
65114 1415784_at 455.57
12469 1415785_a_at 997.91
109820 1415786_at 160.89
14376 1415787_at 572.2
79560 1415788_at 498.09
NA 1415789_a_at 299.6
79560 1415790_at 291.63
80751 1415791_at 498.09
24105 1415792_at 425.94
103711 1415793_at 479.8
20729 1415794_a_at 985.43
20729 1415795_at 209
23994 1415796_at 1324.43
12305 1415797_at 351.51
12305 1415798_at 248.69
60321 1415799_at 580.74
14609 1415800_at 415.54
14609 1415801_at 238.74
20501 1415802_at 425.94
20312 1415803_at 627.86
20312 1415804_at 346.09
109791 1415805_at 90.6
18791 1415806_at 656.46
20382 1415807_s_at 401.97
21984 1415808_at 69.51
21984 1415809_at 67.2
18140 1415810_at 88.26
18140 1415811_at 104.6
227753 1415812_at 879.06
11800 1415813_at 667.89
11966 1415814_at 1638.63
19720 1415815_at 102.29
12468 1415816_at 1181.34
12468 1415817_s_at 724.94
11749 1415818_at 544.43
51792 1415819_a_at 1339.2
53610 1415820_x_at 1280.57
20320 1415821_at 1623.37
20250 1415822_at 2581.37
20250 1415823_at 1490.26
20250 1415824_at 625.2
104318 1415825_s_at 613.77
108664 1415826_at 957.74
28146 1415827_a_at 2581.37
28146 1415828_a_at 2465.77
98386 1415829_at 433.94
26429 1415830_at 407.31
21762 1415831_at 1389.74
11609 1415832_at 71.8
NA 1415833_x_at 12957.74
67603 1415834_at 276.6
18776 1415835_at 92.89
56454 1415836_at 530.51
16612 1415837_at 118.63
56442 1415838_at 4362.2
18148 1415839_a_at 2346
68801 1415840_at 1711.54
13427 1415841_at 1091.54
56716 1415842_at 236.14
56716 1415843_at 134.89
20983 1415844_at 1915.97
20983 1415845_at 1239.11
16833 1415846_a_at 62.51
16833 1415847_at 95.37
18775 1415848_at 163.17
16765 1415849_s_at 3383.94
19414 1415850_at 172.71
23918 1415851_a_at 804.89
23918 1415852_at 793.51
23854 1415853_at 248.69
17311 1415854_at 83.51
17311 1415855_at 317.6
13723 1415856_at 1945.49
13723 1415857_at 2086.34
56347 1415858_at 1129.77
56347 1415859_at 834.74
NA 1415860_at 769.74
22178 1415861_at 76.54
22178 1415862_at 85.83
13690 1415863_at 1989.34
12183 1415864_at 731.14
12183 1415865_s_at 407.31
101869 1415866_at 325.4
12464 1415867_at 1079.49
12464 1415868_at 102.29
21849 1415869_a_at 1076.2
12321 1415870_at 407.31
21810 1415871_at 221.26
59013 1415872_at 3771.43
54130 1415873_a_at 444.69
24063 1415874_at 362.49
109163 1415875_at 76.54
27370 1415876_a_at 7790.34
22240 1415877_at 104.6
20133 1415878_at 281.51
67186 1415879_a_at 9948.71
16783 1415880_a_at 2450.54
66092 1415881_at 1014.29
66092 1415882_at 1202.37
67868 1415883_a_at 134.89
67868 1415884_at 160.89
12653 1415885_at 14716.74
27387 1415886_at 201.63
21787 1415887_at 2699.69
15191 1415888_at 383.34
22027 1415889_a_at 4425.46
23971 1415890_at 1214.17
56451 1415891_at 1437.09
20397 1415892_at 204.26
20397 1415893_at 175.06
18606 1415894_at 233.49
NA 1415895_at 1899.17
NA 1415896_x_at 1830.14
56615 1415897_a_at 796.4
56615 1415898_at 81.14
16477 1415899_at 586.26
16590 1415900_a_at 151.37
26433 1415901_at 589.11
110695 1415902_at 76.54
105727 1415903_at 553
16956 1415904_at 724.94
19692 1415905_at 83.51
19241 1415906_at 5781.6
12445 1415907_at 985.43
22110 1415908_at 924.14
20867 1415909_at 312.17
109006 1415910_s_at 425.94
16210 1415911_at 1221.23
NA 1415912_a_at 4205.86
NA 1415913_at 111.57
15384 1415914_at 2793.71
104721 1415915_at 1127
108156 1415916_a_at 375.46
108156 1415917_at 209
21991 1415918_a_at 2137.34
18146 1415919_at 2089.51
83410 1415920_at 1041.77
29820 1415921_a_at 123.31
17357 1415922_s_at 354.14
17984 1415923_at 1773.26
21958 1415924_at 67.2
18226 1415925_a_at 375.46
18226 1415926_at 500.69
11464 1415927_at 97.69
67443 1415928_a_at 1819.34
67443 1415929_at 1293.2
67443 1415930_a_at 1017.14
16002 1415931_at 90.6
11981 1415932_x_at 547.31
12858 1415933_a_at 1895.49
108679 1415934_at 589.11
64074 1415935_at 102.29
29815 1415936_at 223.8
18571 1415937_s_at 312.17
20730 1415938_at 81.14
14264 1415939_at 111.57
100494 1415940_at 511.74
100494 1415941_s_at 289.2
110954 1415942_at 11145.8
20969 1415943_at 253.66
20969 1415944_at 156.14
17218 1415945_at 139.49
14755 1415946_at 477.09
NA 1415947_at 641.74
433375 1415948_at 385.97
12876 1415949_at 9483.91
23980 1415950_a_at 2774.29
14230 1415951_at 199.2
13728 1415952_at 362.49
13728 1415953_s_at 118.63
NA 1415954_at 78.77
19118 1415955_x_at 187.06
18555 1415956_a_at 458.29
18114 1415957_a_at 731.14
20528 1415958_at 137.31
20528 1415959_at 111.57
17523 1415960_at 102.29
64294 1415961_at 4979.4
68135 1415962_at 1869.46
56258 1415963_at 917.74
