Gene Probeset Intensity
54161 1415670_at 378.2
11972 1415671_at 1211.69
57437 1415672_at 1040.57
100678 1415673_at 270.86
60409 1415674_a_at 456.4
13481 1415675_at 269.4
19173 1415676_a_at 1719.34
52585 1415677_at 669.03
19042 1415678_at 755.03
66340 1415679_at 1184.34
17222 1415680_at 272.91
94067 1415681_at 719.46
65246 1415682_at 247.11
18107 1415683_at 957
11793 1415684_at 400
76784 1415685_at 402.86
68365 1415686_at 504.43
19156 1415687_a_at 3847.89
67128 1415688_at 845.97
72739 1415689_s_at 262.8
94064 1415690_at 1427.4
13383 1415691_at 407.89
12330 1415692_s_at 2234.83
67819 1415693_at 430.83
22375 1415694_at 158.94
26440 1415695_at 1229.89
20224 1415696_at 610.2
23881 1415697_at 470.74
105348 1415698_at 201.71
209318 1415699_a_at 785.49
67437 1415700_a_at 1206.74
65019 1415701_x_at 5187.74
13016 1415702_a_at 685.09
59026 1415703_at 492.83
321022 1415704_a_at 508.49
66818 1415705_at 232.86
12847 1415706_at 1467.57
99152 1415707_at 411.46
544752 1415708_at 415.89
107338 1415709_s_at 272.91
231430 1415710_at 349.63
211673 1415711_at 726.51
NA 1415712_at 182.97
27225 1415713_a_at 397.31
66618 1415714_a_at 814.83
68366 1415715_at 235.8
57294 1415716_a_at 3032.97
66743 1415717_at 287.03
50724 1415718_at 659.83
74252 1415719_s_at 539.71
66591 1415720_s_at 205.34
74763 1415721_a_at 336.69
66201 1415722_a_at 552.89
217869 1415723_at 1279.46
12540 1415724_a_at 1076.46
106298 1415725_at 172.09
81702 1415726_at 428.86
246703 1415727_at 938.51
54196 1415728_at 253.57
18607 1415729_at 455.66
269061 1415730_at 351.97
52477 1415731_at 237.86
193742 1415732_at 383.66
68512 1415733_a_at 977.06
19349 1415734_at 1752.17
13194 1415735_at 642.77
56612 1415736_at 1176.86
54391 1415737_at 718.11
66073 1415738_at 375.94
68035 1415739_at 401.29
19184 1415740_at 961.6
21982 1415741_at 606.03
11993 1415742_at 500.17
15184 1415743_at 219.2
14976 1415744_at 629.77
13185 1415745_a_at 308.66
71722 1415746_at 307.89
66878 1415747_s_at 851.63
59288 1415748_a_at 719.46
54170 1415749_a_at 741.6
213773 1415750_at 167.06
15441 1415751_at 555.94
407819 1415752_at 1669.89
216169 1415753_at 504.43
69833 1415754_at 741.6
66589 1415755_a_at 622.8
20615 1415756_a_at 280.63
107338 1415757_at 287.03
72313 1415758_at 238.54
68576 1415759_a_at 1659.74
11927 1415760_s_at 1298.71
68836 1415761_at 410.06
68836 1415762_x_at 427.2
76799 1415763_a_at 556.63
70579 1415764_at 826.09
68693 1415765_at 260.66
20333 1415766_at 218.4
228994 1415767_at 354.17
67615 1415768_a_at 468.86
16396 1415769_at 638.46
83669 1415770_at 292.26
17975 1415771_at 1085.49
17975 1415772_at 159.69
17975 1415773_at 581.29
58523 1415774_at 204.63
245688 1415775_at 1429.91
11671 1415776_at 656.2
18946 1415777_at 96.69
56397 1415778_at 1057.69
11465 1415779_s_at 3258.06
67416 1415780_a_at 129.51
NA 1415781_a_at 3805.97
NA 1415782_at 1663.37
65114 1415783_at 1892.89
65114 1415784_at 487.26
12469 1415785_a_at 981.89
109820 1415786_at 102.49
14376 1415787_at 473.69
79560 1415788_at 595.94
NA 1415789_a_at 331.51
79560 1415790_at 344.8
80751 1415791_at 397.94
24105 1415792_at 284.29
103711 1415793_at 703.17
20729 1415794_a_at 408.6
20729 1415795_at 248.71
23994 1415796_at 2024.57
12305 1415797_at 386.54
12305 1415798_at 194.51
60321 1415799_at 388.8
14609 1415800_at 107.66
14609 1415801_at 109
20501 1415802_at 447.8
20312 1415803_at 289.26
20312 1415804_at 224.89
109791 1415805_at 94.37
18791 1415806_at 526.71
20382 1415807_s_at 329.54
21984 1415808_at 68.43
21984 1415809_at 72.37
18140 1415810_at 89.89
18140 1415811_at 79.37
227753 1415812_at 472.29
11800 1415813_at 496.43
11966 1415814_at 1851.89
19720 1415815_at 78.57
12468 1415816_at 850.97
12468 1415817_s_at 746.94
11749 1415818_at 203.29
51792 1415819_a_at 671.03
53610 1415820_x_at 455.66
20320 1415821_at 1043.74
20250 1415822_at 382.46
20250 1415823_at 270.86
20250 1415824_at 130.17
104318 1415825_s_at 277.91
108664 1415826_at 971.89
28146 1415827_a_at 1671.14
28146 1415828_a_at 1493
98386 1415829_at 539.06
26429 1415830_at 230.06
21762 1415831_at 1083.51
11609 1415832_at 59.51
NA 1415833_x_at 6187.57
67603 1415834_at 574.17
18776 1415835_at 75.54
56454 1415836_at 92.86
16612 1415837_at 12539.14
56442 1415838_at 1701.63
18148 1415839_a_at 1038.49
68801 1415840_at 698.71
13427 1415841_at 663.43
56716 1415842_at 153.74
56716 1415843_at 128.71
20983 1415844_at 57.11
20983 1415845_at 85.4
16833 1415846_a_at 63.63
16833 1415847_at 85.4
18775 1415848_at 118.57
16765 1415849_s_at 518.54
19414 1415850_at 136.74
23918 1415851_a_at 616.34
23918 1415852_at 479.66
23854 1415853_at 475.17
17311 1415854_at 84.63
17311 1415855_at 333.11
13723 1415856_at 248.71
13723 1415857_at 383.09
56347 1415858_at 1158.69
56347 1415859_at 704
NA 1415860_at 348.17
22178 1415861_at 78.57
22178 1415862_at 78.57
13690 1415863_at 1870.09
12183 1415864_at 220.54
12183 1415865_s_at 359.31
101869 1415866_at 152.34
12464 1415867_at 1393.51
12464 1415868_at 108.29
21849 1415869_a_at 406.49
12321 1415870_at 566.43
21810 1415871_at 174.26
59013 1415872_at 1230.97
54130 1415873_a_at 443.37
24063 1415874_at 233.71
109163 1415875_at 73.97
27370 1415876_a_at 3007.14
22240 1415877_at 98.03
20133 1415878_at 135.4
67186 1415879_a_at 4563.09
16783 1415880_a_at 3812.8
66092 1415881_at 2240.86
66092 1415882_at 2411.66
67868 1415883_a_at 95.83
67868 1415884_at 142.66
12653 1415885_at 77.77
27387 1415886_at 177.23
21787 1415887_at 1046.51
15191 1415888_at 588.29
22027 1415889_a_at 1702.8
23971 1415890_at 1189.29
56451 1415891_at 2643.69
20397 1415892_at 260.11
20397 1415893_at 198.2
18606 1415894_at 250.03
NA 1415895_at 958.51
NA 1415896_x_at 795.2
56615 1415897_a_at 1235.43
56615 1415898_at 70.86
16477 1415899_at 132.34
16590 1415900_a_at 113.29
26433 1415901_at 367.51
110695 1415902_at 83.09
105727 1415903_at 127.97
16956 1415904_at 7754.97
19692 1415905_at 79.97
19241 1415906_at 3003.31
12445 1415907_at 411.46
22110 1415908_at 353.43
20867 1415909_at 431.66
109006 1415910_s_at 488.66
16210 1415911_at 297.91
NA 1415912_a_at 1718.49
NA 1415913_at 97.31
15384 1415914_at 1686.51
104721 1415915_at 689.11
108156 1415916_a_at 1520.49
108156 1415917_at 1078.09
21991 1415918_a_at 3532.8
18146 1415919_at 228.57
83410 1415920_at 599.2
29820 1415921_a_at 76.14
17357 1415922_s_at 202.43
17984 1415923_at 98.74
21958 1415924_at 79.97
18226 1415925_a_at 184.4
18226 1415926_at 203.29
11464 1415927_at 104.63
67443 1415928_a_at 1123.29
67443 1415929_at 1255.26
67443 1415930_a_at 1658.34
16002 1415931_at 79.97
11981 1415932_x_at 213.31
12858 1415933_a_at 4648.94
108679 1415934_at 412.26
64074 1415935_at 102.49
29815 1415936_at 293.69
18571 1415937_s_at 195.29
20730 1415938_at 5625.2
14264 1415939_at 105.43
100494 1415940_at 342.57
100494 1415941_s_at 147.77
110954 1415942_at 5698.2
20969 1415943_at 148.43
20969 1415944_at 144.8
17218 1415945_at 86.14
14755 1415946_at 699.31
NA 1415947_at 669.63
433375 1415948_at 614.43
12876 1415949_at 635.11
23980 1415950_a_at 3332.86
14230 1415951_at 111.89
13728 1415952_at 487.26
13728 1415953_s_at 200.26
NA 1415954_at 65.11
19118 1415955_x_at 152.34
18555 1415956_a_at 496.43
18114 1415957_a_at 328.06
20528 1415958_at 227.03
20528 1415959_at 240.69
17523 1415960_at 89.11
64294 1415961_at 536.11
68135 1415962_at 1276.09
56258 1415963_at 571.29
20249 1415964_at 684.43
20249 1415965_at 218.4
17995 1415966_a_at 2442.1
17995 1415967_at 2134.34
16483 1415968_a_at 17705.74
16483 1415969_s_at 13923.23
12864 1415970_at 6612.86
17118 1415971_at 364.86
17118 1415972_at 158.94
17118 1415973_at 252.86
26396 1415974_at 559.77
52502 1415975_at 211.11
52502 1415976_a_at 247.94
71780 1415977_at 247.11
22152 1415978_at 66.17
19989 1415979_x_at 3370.54
67942 1415980_at 2180.09
80517 1415981_at 326.69
80517 1415982_at 240.09
18826 1415983_at 234.4
11364 1415984_at 5177.97
101943 1415985_at 341.83
12727 1415986_at 457.8
110611 1415987_at 714.57
110611 1415988_at 247.94
22329 1415989_at 161.94
22334 1415990_at 2887.06
71765 1415991_a_at 849.69
56703 1415992_at 237.17
20775 1415993_at 478.34
13106 1415994_at 8198.26
12368 1415995_at 392.26
56338 1415996_at 1923.37
56338 1415997_at 1833.83
22333 1415998_at 3031.37
15213 1415999_at 108.29
18477 1416000_a_at 6822.17
72042 1416001_a_at 505.03
72042 1416002_x_at 284.29
18417 1416003_at 66.83
22629 1416004_at 487.26
19179 1416005_at 735.86
17242 1416006_at 411.46
20230 1416007_at 77.03
20230 1416008_at 76.14
56434 1416009_at 1610.86
13660 1416010_a_at 433.69
13660 1416011_x_at 546.69
13660 1416012_at 144.09
18807 1416013_at 412.26
24015 1416014_at 382.46
24015 1416015_s_at 438.51
21354 1416016_at 153.74
54161 1416017_at 338.06
13486 1416018_at 333.74
13486 1416019_at 227.03
11951 1416020_a_at 3060.31
16592 1416021_a_at 232.86
16592 1416022_at 148.43
14077 1416023_at 838.86
12462 1416024_x_at 1649.71
99571 1416025_at 201.71
269261 1416026_a_at 1790.83
18570 1416027_at 1415
15374 1416028_a_at 196.8
21847 1416029_at 175.03
17220 1416030_a_at 206.06
17220 1416031_s_at 209.66
68539 1416032_at 259.49
68539 1416033_at 87.6
12484 1416034_at 906.29
15251 1416035_at 249.29
14225 1416036_at 1114.89
12461 1416037_a_at 1090.31
56463 1416038_at 279.26
16007 1416039_x_at 209.66
67717 1416040_at 77.03
20393 1416041_at 1372.86
50927 1416042_s_at 245.71
50927 1416043_at 69.29
14248 1416044_at 294.37
20587 1416045_a_at 246.37
66848 1416046_a_at 1743.46
66848 1416047_at 147
54383 1416048_at 252.86
104174 1416049_at 537.71
20778 1416050_a_at 171.4
12263 1416051_at 277.06
19139 1416052_at 439.94
16979 1416053_at 109.83
20103 1416054_at 4366.71
109959 1416055_at 55.4
104130 1416056_a_at 4040.86
104130 1416057_at 3538.37
11949 1416058_s_at 5970.37
27054 1416059_at 1102.09
66687 1416060_at 402.86
66687 1416061_at 412.26
66687 1416062_at 158.2
66996 1416063_x_at 54.69
14828 1416064_a_at 2797.03
102334 1416065_a_at 226.29
12527 1416066_at 1060.6
15982 1416067_at 232.34
NA 1416068_at 392.26
56421 1416069_at 258
66942 1416070_a_at 201.09
66942 1416071_at 245.71
12490 1416072_at 156.77
445007 1416073_a_at 191.63
NA 1416074_a_at 3956.06
64010 1416075_at 254.29
NA 1416076_at 77.77
11535 1416077_at 196.8
110157 1416078_s_at 492.83
56443 1416079_a_at 459.74
11490 1416080_at 152.34
17125 1416081_at 108.29
19324 1416082_at 4417.63
22682 1416083_at 543.29
22682 1416084_at 251.34
22682 1416085_s_at 781.69
22022 1416086_at 254.29
11769 1416087_at 418.6
NA 1416088_a_at 2182.26
20054 1416089_at 2895.2
68263 1416090_at 2027.14
17758 1416091_at 170.77
17758 1416092_a_at 154.46
66448 1416093_a_at 1280.8
11502 1416094_at 757.51
66118 1416095_x_at 498.6
104799 1416096_at 463
192198 1416097_at 95.14
20974 1416098_at 115.6
NA 1416099_at 2488.2
55944 1416100_at 667.8
50708 1416101_a_at 1444.71
22631 1416102_at 1282.74
22631 1416103_at 544.54
24070 1416104_at 451.46
18115 1416105_at 889.69
100087 1416106_at 323.83
18197 1416107_at 149.91
66111 1416108_a_at 395.14
71665 1416109_at 1955.09
67843 1416110_at 388.8
12522 1416111_at 92.86
12868 1416112_at 4856.49
14232 1416113_at 541.11
13602 1416114_at 270.11
50793 1416115_at 407.11
50793 1416116_at 193.77
50793 1416117_at 136.74
66949 1416118_at 72.37
22166 1416119_at 4443.91
20135 1416120_at 107.66
16948 1416121_at 109.83
12444 1416122_at 221.26
12444 1416123_at 81.6
12444 1416124_at 66.17
14229 1416125_at 614.43
20017 1416126_at 181.51
13437 1416127_a_at 468.11
NA 1416128_at 175.03
74155 1416129_at 3365.83
19122 1416130_at 721
76740 1416131_s_at 290.69
76740 1416132_at 279.26
76740 1416133_at 452.06
11803 1416134_at 109.83
11792 1416135_at 230.83
17390 1416136_at 120.77
11750 1416137_at 309.34
11750 1416138_at 930
19693 1416139_at 106.89
72831 1416140_a_at 406.49
NA 1416141_a_at 6686.63
20104 1416142_at 301.46
11957 1416143_at 4299.91
13204 1416144_a_at 960.29
13204 1416145_at 1198.71
15525 1416146_at 631.83
15525 1416147_at 298.8
114128 1416148_at 496.43
50914 1416149_at 68.43
20383 1416150_a_at 1021.17
20383 1416151_at 217.69
20383 1416152_a_at 277.91
NA 1416153_at 729.83
NA 1416154_at 92.86
15354 1416155_at 439.2
22330 1416156_at 412.26
22330 1416157_at 143.34
11819 1416158_at 255.91
11819 1416159_at 407.89
11819 1416160_at 141.14
19357 1416161_at 1168.49
19357 1416162_at 379.6
26891 1416163_at 384.49
23876 1416164_at 1071.66
106572 1416165_at 168.51
53381 1416166_a_at 240.69
53381 1416167_at 444.91
20317 1416168_at 91.34
116913 1416169_at 66.17
68015 1416170_at 1005.14
69612 1416171_at 292.26
64934 1416172_at 243.57
64934 1416173_at 127.4
26450 1416174_at 487.94
22335 1416175_a_at 1321.69
