Gene Probeset Intensity
54161 1415670_at 667.97
11972 1415671_at 1204.34
57437 1415672_at 1115.69
100678 1415673_at 268.51
60409 1415674_a_at 529.8
13481 1415675_at 343.03
19173 1415676_a_at 1064.2
52585 1415677_at 457.83
19042 1415678_at 1271.4
66340 1415679_at 1229.23
17222 1415680_at 418.63
94067 1415681_at 440.4
65246 1415682_at 234.77
18107 1415683_at 1011.97
11793 1415684_at 294.34
76784 1415685_at 414.8
68365 1415686_at 508.89
19156 1415687_a_at 4112.17
67128 1415688_at 447.91
72739 1415689_s_at 457.83
94064 1415690_at 1211.03
13383 1415691_at 377.29
12330 1415692_s_at 1491.37
67819 1415693_at 659.63
22375 1415694_at 246.66
26440 1415695_at 1844.71
20224 1415696_at 1233.66
23881 1415697_at 777.74
105348 1415698_at 232.4
209318 1415699_a_at 701.17
67437 1415700_a_at 1483.86
65019 1415701_x_at 5479.51
13016 1415702_a_at 844.17
59026 1415703_at 652.11
321022 1415704_a_at 693.71
66818 1415705_at 321.09
12847 1415706_at 1405.6
99152 1415707_at 537.97
544752 1415708_at 744.63
107338 1415709_s_at 257.57
231430 1415710_at 347.97
211673 1415711_at 563.46
NA 1415712_at 221.66
27225 1415713_a_at 491.43
66618 1415714_a_at 588.26
68366 1415715_at 216.89
57294 1415716_a_at 3430.14
66743 1415717_at 281.43
50724 1415718_at 356.63
74252 1415719_s_at 318.46
66591 1415720_s_at 163.23
74763 1415721_a_at 396.66
66201 1415722_a_at 479.69
217869 1415723_at 1300.14
12540 1415724_a_at 1937.11
106298 1415725_at 226.37
81702 1415726_at 590.51
246703 1415727_at 674.34
54196 1415728_at 444.34
18607 1415729_at 577.77
269061 1415730_at 405.09
52477 1415731_at 310.14
193742 1415732_at 556.17
68512 1415733_a_at 684.11
19349 1415734_at 1378.77
13194 1415735_at 1027.51
56612 1415736_at 1223
54391 1415737_at 634.34
66073 1415738_at 389.29
68035 1415739_at 407.54
19184 1415740_at 914.54
21982 1415741_at 547.94
11993 1415742_at 302.77
15184 1415743_at 306.37
14976 1415744_at 566.8
13185 1415745_a_at 438
71722 1415746_at 286.11
66878 1415747_s_at 974
59288 1415748_a_at 578.74
54170 1415749_a_at 1466.89
213773 1415750_at 169.26
15441 1415751_at 731.97
407819 1415752_at 1216.34
216169 1415753_at 512.2
69833 1415754_at 619.2
66589 1415755_a_at 604.74
20615 1415756_a_at 549.11
107338 1415757_at 262.34
72313 1415758_at 301.6
68576 1415759_a_at 956.69
11927 1415760_s_at 1082
68836 1415761_at 450.43
68836 1415762_x_at 447.91
76799 1415763_a_at 698.97
70579 1415764_at 1490.43
68693 1415765_at 271.83
20333 1415766_at 210.94
228994 1415767_at 365.34
67615 1415768_a_at 854.2
16396 1415769_at 395.34
83669 1415770_at 419.86
17975 1415771_at 1285.26
17975 1415772_at 195.49
17975 1415773_at 577.77
58523 1415774_at 215.54
245688 1415775_at 1809.4
11671 1415776_at 239.51
18946 1415777_at 71.34
56397 1415778_at 1628.71
11465 1415779_s_at 3859.6
67416 1415780_a_at 153.74
NA 1415781_a_at 4943.6
NA 1415782_at 2071.69
65114 1415783_at 1637.54
65114 1415784_at 267.17
12469 1415785_a_at 742.37
109820 1415786_at 100.6
14376 1415787_at 382.03
79560 1415788_at 446.77
NA 1415789_a_at 196.8
79560 1415790_at 259.89
80751 1415791_at 305.2
24105 1415792_at 525.83
103711 1415793_at 323.69
20729 1415794_a_at 413.63
20729 1415795_at 155
23994 1415796_at 1752.77
12305 1415797_at 280.2
12305 1415798_at 133.66
60321 1415799_at 359.06
14609 1415800_at 700.06
14609 1415801_at 207.4
20501 1415802_at 1118.09
20312 1415803_at 117.03
20312 1415804_at 113.6
109791 1415805_at 84.09
18791 1415806_at 397.69
20382 1415807_s_at 387.11
21984 1415808_at 63.09
21984 1415809_at 74.8
18140 1415810_at 85.29
18140 1415811_at 86.4
227753 1415812_at 14551.83
11800 1415813_at 428.2
11966 1415814_at 664.37
19720 1415815_at 78.31
12468 1415816_at 662.2
12468 1415817_s_at 797.63
11749 1415818_at 1099.6
51792 1415819_a_at 804.77
53610 1415820_x_at 710.23
20320 1415821_at 1751.09
20250 1415822_at 534.43
20250 1415823_at 247.94
20250 1415824_at 112.34
104318 1415825_s_at 392.91
108664 1415826_at 744.63
28146 1415827_a_at 1282.34
28146 1415828_a_at 1145.17
98386 1415829_at 463.97
26429 1415830_at 259.89
21762 1415831_at 1195.89
11609 1415832_at 60.69
NA 1415833_x_at 8092.03
67603 1415834_at 385.94
18776 1415835_at 74.8
56454 1415836_at 112.34
16612 1415837_at 71.34
56442 1415838_at 2255.03
18148 1415839_a_at 1215.06
68801 1415840_at 1139.74
13427 1415841_at 658.6
56716 1415842_at 168.03
56716 1415843_at 114.77
20983 1415844_at 57.29
20983 1415845_at 85.29
16833 1415846_a_at 57.29
16833 1415847_at 81.83
18775 1415848_at 130.09
16765 1415849_s_at 268.51
19414 1415850_at 740.17
23918 1415851_a_at 590.51
23918 1415852_at 621.71
23854 1415853_at 207.4
17311 1415854_at 91
17311 1415855_at 811.91
13723 1415856_at 147.89
13723 1415857_at 266.09
56347 1415858_at 1304.66
56347 1415859_at 611.94
NA 1415860_at 323.69
22178 1415861_at 71.34
22178 1415862_at 65.37
13690 1415863_at 2206
12183 1415864_at 238.43
12183 1415865_s_at 220.4
101869 1415866_at 182.34
12464 1415867_at 1636.11
12464 1415868_at 81.83
21849 1415869_a_at 471.26
12321 1415870_at 1160.37
21810 1415871_at 489.03
59013 1415872_at 1690.97
54130 1415873_a_at 632.03
24063 1415874_at 250.34
109163 1415875_at 80.69
27370 1415876_a_at 3913.8
22240 1415877_at 158.46
20133 1415878_at 190.66
67186 1415879_a_at 8839.31
16783 1415880_a_at 3316.74
66092 1415881_at 1542.94
66092 1415882_at 2191.66
67868 1415883_a_at 83
67868 1415884_at 153.74
12653 1415885_at 78.31
27387 1415886_at 178.86
21787 1415887_at 1038.49
15191 1415888_at 444.34
22027 1415889_a_at 1806.63
23971 1415890_at 617.86
56451 1415891_at 1343.26
20397 1415892_at 581.31
20397 1415893_at 270.83
18606 1415894_at 182.34
NA 1415895_at 751.83
NA 1415896_x_at 589.37
56615 1415897_a_at 9618.51
56615 1415898_at 67.77
16477 1415899_at 143.09
16590 1415900_a_at 105.43
26433 1415901_at 556.17
110695 1415902_at 70.11
