Gene Probeset Intensity
54161 1415670_at 533.7
11972 1415671_at 1746.1
57437 1415672_at 1404.7
100678 1415673_at 192.3
60409 1415674_a_at 353.3
13481 1415675_at 276.9
19173 1415676_a_at 1160.7
52585 1415677_at 293.2
19042 1415678_at 935
66340 1415679_at 870.6
17222 1415680_at 159.3
94067 1415681_at 320.7
65246 1415682_at 329.7
18107 1415683_at 642.6
11793 1415684_at 145.9
76784 1415685_at 207
68365 1415686_at 1003
19156 1415687_a_at 2489.4
67128 1415688_at 826.9
72739 1415689_s_at 255.4
94064 1415690_at 482.2
13383 1415691_at 1101.3
12330 1415692_s_at 1610
67819 1415693_at 282.5
22375 1415694_at 370.8
26440 1415695_at 708.9
20224 1415696_at 1051.4
23881 1415697_at 675.8
105348 1415698_at 221.9
209318 1415699_a_at 1050.7
67437 1415700_a_at 1060.8
65019 1415701_x_at 3554.6
13016 1415702_a_at 1735.8
59026 1415703_at 639.4
321022 1415704_a_at 429.6
66818 1415705_at 403.3
12847 1415706_at 1069.6
99152 1415707_at 313.4
544752 1415708_at 602.6
107338 1415709_s_at 231.4
231430 1415710_at 172.9
211673 1415711_at 697.2
NA 1415712_at 215.4
27225 1415713_a_at 483.1
66618 1415714_a_at 966.9
68366 1415715_at 129.4
57294 1415716_a_at 2717.9
66743 1415717_at 492.7
50724 1415718_at 375.1
74252 1415719_s_at 1003.3
66591 1415720_s_at 60.6
74763 1415721_a_at 445.8
66201 1415722_a_at 496
217869 1415723_at 1343.1
12540 1415724_a_at 913.5
106298 1415725_at 166.4
81702 1415726_at 797
246703 1415727_at 599.1
54196 1415728_at 285.2
18607 1415729_at 768.8
269061 1415730_at 463.4
52477 1415731_at 247.2
193742 1415732_at 761.4
68512 1415733_a_at 393
19349 1415734_at 1950.4
13194 1415735_at 425
56612 1415736_at 1319.9
54391 1415737_at 399.3
66073 1415738_at 256.6
68035 1415739_at 376.1
19184 1415740_at 1529.3
21982 1415741_at 487.1
11993 1415742_at 166.3
15184 1415743_at 632.4
14976 1415744_at 644.4
13185 1415745_a_at 267.6
71722 1415746_at 1026.2
66878 1415747_s_at 575.7
59288 1415748_a_at 471.1
54170 1415749_a_at 630.6
213773 1415750_at 114.7
15441 1415751_at 1160.2
407819 1415752_at 1315.6
216169 1415753_at 997.2
69833 1415754_at 307.7
66589 1415755_a_at 1023.1
20615 1415756_a_at 313.3
107338 1415757_at 350.1
72313 1415758_at 245.8
68576 1415759_a_at 534.7
11927 1415760_s_at 463.9
68836 1415761_at 198.6
68836 1415762_x_at 193.9
76799 1415763_a_at 428.3
70579 1415764_at 966.6
68693 1415765_at 208.1
20333 1415766_at 349.7
228994 1415767_at 491.1
67615 1415768_a_at 415.3
16396 1415769_at 280.5
83669 1415770_at 623
17975 1415771_at 1169.9
17975 1415772_at 85
17975 1415773_at 445.3
58523 1415774_at 132.4
245688 1415775_at 1164.5
11671 1415776_at 167.7
18946 1415777_at 1.6
56397 1415778_at 2167.5
11465 1415779_s_at 4817.1
67416 1415780_a_at 615.8
NA 1415781_a_at 4236.1
NA 1415782_at 2081
65114 1415783_at 1744.4
65114 1415784_at 309.6
12469 1415785_a_at 710.4
109820 1415786_at 4.2
14376 1415787_at 259.6
79560 1415788_at 479.7
NA 1415789_a_at 290.6
79560 1415790_at 222.6
80751 1415791_at 554.1
24105 1415792_at 285.7
103711 1415793_at 348.2
20729 1415794_a_at 736.5
20729 1415795_at 145.6
23994 1415796_at 823.9
12305 1415797_at 250.8
12305 1415798_at 114.7
60321 1415799_at 624.5
14609 1415800_at 1502.1
14609 1415801_at 230
20501 1415802_at 290.6
20312 1415803_at 2329.9
20312 1415804_at 1033.4
109791 1415805_at 24.8
18791 1415806_at 273.6
20382 1415807_s_at 238.2
21984 1415808_at 7
21984 1415809_at 5.9
18140 1415810_at 3.5
18140 1415811_at 3.2
227753 1415812_at 410.5
11800 1415813_at 449.4
11966 1415814_at 3036.2
19720 1415815_at 3
12468 1415816_at 934.8
12468 1415817_s_at 764.7
11749 1415818_at 243.2
51792 1415819_a_at 2092.4
53610 1415820_x_at 477.5
20320 1415821_at 3909.9
20250 1415822_at 5147.5
20250 1415823_at 2787
20250 1415824_at 928.1
104318 1415825_s_at 491
108664 1415826_at 839.2
28146 1415827_a_at 406.8
